name,position,age,nation,club,value,confederation,league
Fran Vieites,Goalkeeper,26.0,Spain,Real Betis Balompié,€2.00m,,
Lubomir Belko,Goalkeeper,23.0,Slovakia,MSK Zilina,€2.00m,,
Tomás Durso,Goalkeeper,26.0,Argentina,Club Atlético Tucumán,€2.00m,,
Arthur Okonkwo,Goalkeeper,23.0,England,Wrexham AFC,€2.00m,,
Devis Vásquez,Goalkeeper,27.0,Colombia,AC Milan,€2.00m,,
Martin Zlomislic,Goalkeeper,26.0,Bosnia-Herzegovina,HNK Rijeka,€2.00m,,
Álvaro Fernández,Goalkeeper,27.0,Spain,Sevilla FC,€2.00m,,
Jari De Busser,Goalkeeper,25.0,Belgium,Go Ahead Eagles,€2.00m,,
Aleksandar Popovic,Goalkeeper,25.0,Serbia,DAC Dunajska Streda,€2.00m,,
Ivor Pandur,Goalkeeper,25.0,Croatia,Hull City,€2.00m,,
Bilal Bayazıt,Goalkeeper,26.0,Türkiye,Kayserispor,€2.00m,,
Jiri Letacek,Goalkeeper,26.0,Czech Republic,Getafe CF,€2.00m,,
Gaëtan Coucke,Goalkeeper,26.0,Belgium,Without Club,€2.00m,,
Jeffrey de Lange,Goalkeeper,27.0,Netherlands,Olympique Marseille,€2.00m,,
Thiago Cardozo,Goalkeeper,28.0,Uruguay,Club Atlético Belgrano,€2.00m,,
Aleksandar Jovanovic,Goalkeeper,32.0,Serbia,Kocaelispor,€2.00m,,
Nikita Haikin,Goalkeeper,30.0,Russia,FK Bodø/Glimt,€2.00m,,
Lorenzo Montipò,Goalkeeper,29.0,Italy,Hellas Verona,€2.00m,,
Simone Scuffet,Goalkeeper,29.0,Italy,Cagliari Calcio,€2.00m,,
Guido Herrera,Goalkeeper,33.0,Argentina,CA Talleres,€2.00m,,
Dénes Dibusz,Goalkeeper,34.0,Hungary,Ferencvárosi TC,€2.00m,,
Marvin Schwäbe,Goalkeeper,30.0,Germany,1.FC Köln,€2.00m,,
Péter Gulácsi,Goalkeeper,35.0,Hungary,RB Leipzig,€2.00m,,
Lars Unnerstall,Goalkeeper,35.0,Germany,Twente Enschede FC,€2.00m,,
Lukas Hradecky,Goalkeeper,35.0,Finland,Bayer 04 Leverkusen,€2.00m,,
Alessandro Nunziante,Goalkeeper,18.0,Italy,Benevento Calcio,€1.80m,,
Tommaso Martinelli,Goalkeeper,19.0,Italy,ACF Fiorentina,€1.80m,,
Elis Bishesari,Goalkeeper,20.0,Sweden,IFK Göteborg,€1.80m,,
Johannes Schenk,Goalkeeper,22.0,Germany,Preußen Münster,€1.80m,,
Nahuel Noll,Goalkeeper,22.0,Germany,Hannover 96,€1.80m,,
Ersin Destanoğlu,Goalkeeper,24.0,Türkiye,Besiktas JK,€1.80m,,
Dani Cárdenas,Goalkeeper,28.0,Spain,Rayo Vallecano,€1.80m,,
Ronaldo,Goalkeeper,28.0,Brazil,Esporte Clube Bahia,€1.80m,,
Nicolas Kristof,Goalkeeper,25.0,Austria,SV 07 Elversberg,€1.80m,,
Mateusz Lis,Goalkeeper,28.0,Poland,Göztepe,€1.80m,,
Anton Mitryushkin,Goalkeeper,29.0,Russia,Lokomotiv Moscow,€1.80m,,
Brayan Cortés,Goalkeeper,30.0,Chile,CSD Colo-Colo,€1.80m,,
Ivo Grbic,Goalkeeper,29.0,Croatia,Sheffield United,€1.80m,,
Paul Nardi,Goalkeeper,31.0,France,Queens Park Rangers,€1.80m,,
Kristijan Kahlina,Goalkeeper,32.0,Croatia,Charlotte FC,€1.80m,,
Anthony Moris,Goalkeeper,35.0,Luxembourg,Al-Khaleej FC,€1.80m,,
Thomas Kaminski,Goalkeeper,32.0,Belgium,Charlton Athletic,€1.80m,,
Joe Whitworth,Goalkeeper,21.0,England,Exeter City,€1.70m,,
Facundo Cambeses,Goalkeeper,28.0,Argentina,Racing Club,€1.70m,,
Laurențiu Popescu,Goalkeeper,28.0,Romania,CS Universitatea Craiova,€1.70m,,
Hendrik Van Crombrugge,Goalkeeper,32.0,Belgium,KRC Genk,€1.70m,,
Leandro Brey,Goalkeeper,22.0,Argentina,CA Boca Juniors,€1.50m,,
Tiago Pereira Cardoso,Goalkeeper,19.0,Luxembourg,Borussia Mönchengladbach,€1.50m,,
Martin Delavallée,Goalkeeper,21.0,Belgium,Royal Charleroi SC,€1.50m,,
Gabriel Grando,Goalkeeper,25.0,Brazil,Grêmio Foot-Ball Porto Alegrense,€1.50m,,
Plamen Andreev,Goalkeeper,20.0,Bulgaria,Feyenoord Rotterdam,€1.50m,,
Kiril Fesyun,Goalkeeper,22.0,Ukraine,Shakhtar Donetsk,€1.50m,,
Robin Risser,Goalkeeper,20.0,France,RC Lens,€1.50m,,
Léo Linck,Goalkeeper,24.0,Brazil,Botafogo de Futebol e Regatas,€1.50m,,
Bernardo,Goalkeeper,23.0,Brazil,CD Tondela,€1.50m,,
Matheus Donelli,Goalkeeper,23.0,Brazil,Sport Club Corinthians Paulista,€1.50m,,
Svetoslav Vutsov,Goalkeeper,23.0,Bulgaria,Levski Sofia,€1.50m,,
Pablo Campos,Goalkeeper,23.0,Spain,Levante UD,€1.50m,,
Andreas Jungdal,Goalkeeper,23.0,Denmark,KVC Westerlo,€1.50m,,
Doğan Alemdar,Goalkeeper,22.0,Türkiye,Stade Rennais FC,€1.50m,,
Cristopher Fiermarín,Goalkeeper,27.0,Uruguay,Deportes Tolima,€1.50m,,
Nikita Kokarev,Goalkeeper,22.0,Russia,Krylya Sovetov Samara,€1.50m,,
Adam Zadrazil,Goalkeeper,24.0,Czech Republic,FC Hradec Kralove,€1.50m,,
Jakub Markovic,Goalkeeper,24.0,Czech Republic,SK Slavia Prague,€1.50m,,
Oliver Christensen,Goalkeeper,26.0,Denmark,ACF Fiorentina,€1.50m,,
Elías Ólafsson,Goalkeeper,25.0,Iceland,FC Midtjylland,€1.50m,,
Fabian de Keijzer,Goalkeeper,25.0,Netherlands,Heracles Almelo,€1.50m,,
Lucas Lund,Goalkeeper,25.0,Denmark,Viborg FF,€1.50m,,
Ortwin De Wolf,Goalkeeper,28.0,Belgium,KV Mechelen,€1.50m,,
Demba Thiam,Goalkeeper,27.0,Senegal,AC Monza,€1.50m,,
Nathan Trott,Goalkeeper,26.0,England,FC Copenhagen,€1.50m,,
Ivan Lomaev,Goalkeeper,26.0,Russia,Without Club,€1.50m,,
Kristoffer Klaesson,Goalkeeper,24.0,Norway,Viking FK,€1.50m,,
Lucão,Goalkeeper,24.0,Brazil,Red Bull Bragantino,€1.50m,,
Mateusz Kochalski,Goalkeeper,24.0,Poland,Qarabağ FK,€1.50m,,
Federico Ravaglia,Goalkeeper,25.0,Italy,Bologna FC 1909,€1.50m,,
Evgeniy Staver,Goalkeeper,27.0,Russia,Rubin Kazan,€1.50m,,
Egil Selvik,Goalkeeper,27.0,Norway,Watford FC,€1.50m,,
Carlos Coronel,Goalkeeper,28.0,Paraguay,New York Red Bulls,€1.50m,,
Nico Mantl,Goalkeeper,25.0,Germany,FC Arouca,€1.50m,,
Lazar Carević,Goalkeeper,26.0,Montenegro,FC Famalicão,€1.50m,,
Joël Drommel,Goalkeeper,28.0,Netherlands,Sparta Rotterdam,€1.50m,,
Ivan Nevistic,Goalkeeper,26.0,Croatia,GNK Dinamo Zagreb,€1.50m,,
Álvaro Montero,Goalkeeper,30.0,Colombia,CA Vélez Sarsfield,€1.50m,,
Luca Zidane,Goalkeeper,27.0,France,Granada CF,€1.50m,,
Ivan Zlobin,Goalkeeper,28.0,Russia,FC Famalicão,€1.50m,,
Florian Kastenmeier,Goalkeeper,28.0,Germany,Fortuna Düsseldorf,€1.50m,,
Rodrigo Rey,Goalkeeper,34.0,Argentina,CA Independiente,€1.50m,,
Colin Coosemans,Goalkeeper,32.0,Belgium,RSC Anderlecht,€1.50m,,
Daniel Bentley,Goalkeeper,32.0,England,Wolverhampton Wanderers,€1.50m,,
Nicola Leali,Goalkeeper,32.0,Italy,Genoa CFC,€1.50m,,
Jack Butland,Goalkeeper,32.0,England,Rangers FC,€1.50m,,
Benjamin Lecomte,Goalkeeper,34.0,France,Montpellier HSC,€1.50m,,
Marius Müller,Goalkeeper,32.0,Germany,VfL Wolfsburg,€1.50m,,
Neto,Goalkeeper,36.0,Brazil,AFC Bournemouth,€1.50m,,
Esteban Andrada,Goalkeeper,34.0,Argentina,CF Monterrey,€1.50m,,
Jason Steele,Goalkeeper,34.0,England,Brighton & Hove Albion,€1.50m,,
Weverton,Goalkeeper,37.0,Brazil,Sociedade Esportiva Palmeiras,€1.50m,,
Roman Bürki,Goalkeeper,34.0,Switzerland,St. Louis CITY SC,€1.50m,,
Timothy Fayulu,Goalkeeper,25.0,DR Congo,FC Sion,€1.40m,,
Diogo Sousa,Goalkeeper,26.0,Portugal,Bodrum FK,€1.40m,,
Aynsley Pears,Goalkeeper,27.0,England,Blackburn Rovers,€1.40m,,
Seny Dieng,Goalkeeper,30.0,Senegal,Middlesbrough FC,€1.40m,,
Edvinas Gertmonas,Goalkeeper,29.0,Lithuania,FC Universitatea Cluj,€1.40m,,
Daniel Bachmann,Goalkeeper,31.0,Austria,Watford FC,€1.40m,,
Otto Hindrich,Goalkeeper,22.0,Romania,CFR Cluj,€1.30m,,
Noel Törnqvist,Goalkeeper,23.0,Sweden,Mjällby AIF,€1.30m,,
El Mehdi Benabid,Goalkeeper,27.0,Morocco,Wydad Casablanca,€1.30m,,
Ivan,Goalkeeper,28.0,Brazil,Sport Club Internacional,€1.30m,,
Marcos Ledesma,Goalkeeper,28.0,Argentina,CA Barracas Central,€1.30m,,
Christian Früchtl,Goalkeeper,25.0,Germany,US Lecce,€1.30m,,
Ivan Lucic,Goalkeeper,30.0,Austria,HNK Hajduk Split,€1.30m,,
Andreas Hansen,Goalkeeper,29.0,Denmark,FC Nordsjaelland,€1.30m,,
Mamour Ndiaye,Goalkeeper,19.0,Senegal,Sarpsborg 08 FF,€1.20m,,
Niv Eliasi,Goalkeeper,23.0,Israel,Hapoel Beer Sheva,€1.20m,,
Mohamed Koné,Goalkeeper,23.0,Cote d'Ivoire,Royal Charleroi SC,€1.20m,,
Fedor Lapoukhov,Goalkeeper,22.0,Belarus,CSKA Sofia,€1.20m,,
Thomas Gillier,Goalkeeper,21.0,Chile,Bologna FC 1909,€1.20m,,
Ivan Guteša,Goalkeeper,23.0,Serbia,Red Star Belgrade,€1.20m,,
Sam Tickle,Goalkeeper,23.0,England,Wigan Athletic,€1.20m,,
Strahinja Manojlovic,Goalkeeper,22.0,Serbia,FK Radnicki Nis,€1.20m,,
David Volk,Goalkeeper,24.0,Russia,Dinamo Makhachkala,€1.20m,,
Hervé Koffi,Goalkeeper,28.0,Burkina Faso,Angers SCO,€1.20m,,
Maxime Delanghe,Goalkeeper,24.0,Belgium,Cercle Brugge ,€1.20m,,
Jamie Cumming,Goalkeeper,25.0,England,Oxford United,€1.20m,,
Arthur Desmas,Goalkeeper,31.0,France,Without Club,€1.20m,,
Matevz Vidovsek,Goalkeeper,25.0,Slovenia,NK Olimpija Ljubljana,€1.20m,,
Ignacio de Arruabarrena,Goalkeeper,28.0,Uruguay,Barcelona SC Guayaquil,€1.20m,,
Lucas Chaves,Goalkeeper,29.0,Argentina,Panetolikos GFS,€1.20m,,
Dinko Horkas,Goalkeeper,26.0,Croatia,UD Las Palmas,€1.20m,,
Karlo Letica,Goalkeeper,28.0,Croatia,FC Lausanne-Sport,€1.20m,,
Lucas Acosta,Goalkeeper,30.0,Argentina,CA Sarmiento (Junin),€1.20m,,
Florian Müller,Goalkeeper,27.0,Germany,SC Freiburg,€1.20m,,
Rémy Descamps,Goalkeeper,29.0,France,Olympique Lyon,€1.20m,,
Tadeu,Goalkeeper,33.0,Brazil,Goiás EC,€1.20m,,
Lawrence Ati Zigi,Goalkeeper,28.0,Ghana,FC St. Gallen 1879,€1.20m,,
Nordin Jackers,Goalkeeper,27.0,Belgium,Club Brugge KV,€1.20m,,
Rubén Yáñez,Goalkeeper,31.0,Spain,Sporting Gijón,€1.20m,,
Andrea Fulignati,Goalkeeper,30.0,Italy,US Cremonese,€1.20m,,
Ilya Pomazun,Goalkeeper,28.0,Russia,Spartak Moscow,€1.20m,,
Sergio Rico,Goalkeeper,31.0,Spain,Al-Gharafa SC,€1.20m,,
Danny Ward,Goalkeeper,32.0,Wales,Wrexham AFC,€1.20m,,
Cláudio Ramos,Goalkeeper,33.0,Portugal,FC Porto,€1.20m,,
Andrey Lunev,Goalkeeper,33.0,Russia,Dynamo Moscow,€1.20m,,
Everson,Goalkeeper,35.0,Brazil,Clube Atlético Mineiro,€1.20m,,
Anthony Lopes,Goalkeeper,34.0,Portugal,FC Nantes,€1.20m,,
Simon Mignolet,Goalkeeper,37.0,Belgium,Club Brugge KV,€1.20m,,
Deniz Dönmezer,Goalkeeper,16.0,Türkiye,Adana Demirspor,€1.00m,,
Onuralp Çevikkan,Goalkeeper,19.0,Türkiye,Trabzonspor,€1.00m,,
Pedro Morisco,Goalkeeper,21.0,Brazil,Coritiba Foot Ball Club,€1.00m,,
Pablo Lara,Goalkeeper,20.0,Mexico,UNAM Pumas,€1.00m,,
Lazar Balevic,Goalkeeper,17.0,Serbia,FK Napredak Krusevac,€1.00m,,
Jacopo Seghetti,Goalkeeper,20.0,Italy,FC Empoli,€1.00m,,
Filip Sidklev,Goalkeeper,20.0,Sweden,Aris Thessaloniki,€1.00m,,
João Carvalho,Goalkeeper,21.0,Portugal,SC Braga B,€1.00m,,
Gonçalo Ribeiro,Goalkeeper,19.0,Portugal,FC Porto B,€1.00m,,
Mamadou Diop,Goalkeeper,25.0,Mauritania,Grenoble Foot 38,€1.00m,,
Alejandro Rodríguez,Goalkeeper,24.0,Colombia,Deportivo Cali,€1.00m,,
Deniz Ertaş,Goalkeeper,20.0,Türkiye,Konyaspor,€1.00m,,
Diego Callai,Goalkeeper,21.0,Brazil,Sporting CP B,€1.00m,,
Adriel,Goalkeeper,24.0,Brazil,Athletic Club,€1.00m,,
Theo Sander,Goalkeeper,20.0,Denmark,Odense Boldklub,€1.00m,,
Tomás Ahumada,Goalkeeper,24.0,Chile,Audax Italiano,€1.00m,,
Albert Posiadała,Goalkeeper,22.0,Poland,Molde FK,€1.00m,,
Kewin,Goalkeeper,30.0,Brazil,Without Club,€1.00m,,
Nelson Insfrán,Goalkeeper,30.0,Argentina,Club de Gimnasia y Esgrima La Plata,€1.00m,,
Mahmoud Gad,Goalkeeper,26.0,Egypt,El Masry SC,€1.00m,,
Jan Reichert,Goalkeeper,24.0,Germany,1.FC Nuremberg,€1.00m,,
Rodrigo Morínigo,Goalkeeper,26.0,Paraguay,Club Libertad Asunción,€1.00m,,
Guido Villar,Goalkeeper,27.0,Argentina,Independiente del Valle,€1.00m,,
Josh Griffiths,Goalkeeper,23.0,England,West Bromwich Albion,€1.00m,,
Vladislav Torop,Goalkeeper,21.0,Russia,CSKA Moscow,€1.00m,,
Brenno,Goalkeeper,26.0,Brazil,Fortaleza Esporte Clube,€1.00m,,
Luis Ingolotti,Goalkeeper,25.0,Argentina,Club de Gimnasia y Esgrima La Plata,€1.00m,,
Maksim Borisko,Goalkeeper,25.0,Russia,Baltika Kaliningrad,€1.00m,,
Balsa Popovic,Goalkeeper,25.0,Montenegro,OFK Beograd,€1.00m,,
Jakub Stolarczyk,Goalkeeper,24.0,Poland,Leicester City,€1.00m,,
Viljami Sinisalo,Goalkeeper,23.0,Finland,Celtic FC,€1.00m,,
Daniel Bielica,Goalkeeper,26.0,Poland,NAC Breda,€1.00m,,
Sipho Chaine,Goalkeeper,28.0,South Africa,Orlando Pirates,€1.00m,,
Leopold Wahlstedt,Goalkeeper,26.0,Sweden,Aarhus GF,€1.00m,,
Ivan Dyulgerov,Goalkeeper,26.0,Bulgaria,FC Sheriff Tiraspol,€1.00m,,
Patrik Gunnarsson,Goalkeeper,24.0,Iceland,KV Kortrijk,€1.00m,,
Marian Aioani,Goalkeeper,25.0,Romania,FC Rapid 1923,€1.00m,,
Lucas França,Goalkeeper,29.0,Brazil,CD Nacional,€1.00m,,
Keiller,Goalkeeper,28.0,Brazil,Ceará Sporting Club,€1.00m,,
Bailey Peacock-Farrell,Goalkeeper,28.0,Northern Ireland,Blackpool FC,€1.00m,,
Caíque França,Goalkeeper,30.0,Brazil,Sport Club do Recife,€1.00m,,
Sergey Volkov,Goalkeeper,30.0,Russia,Akron Togliatti,€1.00m,,
Ramiro Macagno,Goalkeeper,28.0,Argentina,Without Club,€1.00m,,
Anthony Racioppi,Goalkeeper,26.0,Switzerland,FC Sion,€1.00m,,
Steven Benda,Goalkeeper,26.0,Germany,Fulham FC,€1.00m,,
Dragan Rosic,Goalkeeper,28.0,Serbia,FK Vojvodina Novi Sad,€1.00m,,
Dimitry Bertaud,Goalkeeper,27.0,DR Congo,Without Club,€1.00m,,
Facundo Altamirano,Goalkeeper,29.0,Argentina,CA San Lorenzo de Almagro,€1.00m,,
Alessandro Plizzari,Goalkeeper,25.0,Italy,Venezia FC,€1.00m,,
Salaheddine Chihab,Goalkeeper,32.0,Morocco,MAS Fès,€1.00m,,
Julian Krahl,Goalkeeper,25.0,Germany,1.FC Kaiserslautern,€1.00m,,
Daniel Naumov,Goalkeeper,27.0,Bulgaria,Botev Plovdiv,€1.00m,,
Denis Adamov,Goalkeeper,27.0,Russia,Zenit St. Petersburg,€1.00m,,
Cătălin Căbuz,Goalkeeper,29.0,Romania,FC Hermannstadt,€1.00m,,
Alen Sherri,Goalkeeper,27.0,Albania,Frosinone Calcio,€1.00m,,
Marius Adamonis,Goalkeeper,28.0,Lithuania,FC Südtirol,€1.00m,,
Timon Weiner,Goalkeeper,26.0,Germany,Holstein Kiel,€1.00m,,
Nicolas Schmid,Goalkeeper,28.0,Austria,Portsmouth FC,€1.00m,,
Anthony Mandréa,Goalkeeper,28.0,Algeria,SM Caen,€1.00m,,
Samuel Portugal,Goalkeeper,31.0,Brazil,Al-Okhdood Club,€1.00m,,
Aarón Escandell,Goalkeeper,29.0,Spain,Real Oviedo,€1.00m,,
Rostislav Soldatenko,Goalkeeper,28.0,Russia,Torpedo Moscow,€1.00m,,
Andries Noppert,Goalkeeper,31.0,Netherlands,SC Heerenveen,€1.00m,,
Dimitar Mitov,Goalkeeper,28.0,Bulgaria,Aberdeen FC,€1.00m,,
Brad Collins,Goalkeeper,28.0,England,Coventry City,€1.00m,,
Juan Soriano,Goalkeeper,27.0,Spain,CD Leganés,€1.00m,,
Alex Palmer,Goalkeeper,28.0,England,Ipswich Town,€1.00m,,
Pierluigi Gollini,Goalkeeper,30.0,Italy,AS Roma,€1.00m,,
Dominik Reimann,Goalkeeper,28.0,Germany,1.FC Magdeburg,€1.00m,,
Max Moerstedt,Centre-Forward,19.0,Germany,TSG 1899 Hoffenheim,€7.00m,,
Marius Broholm,Right Winger,20.0,Norway,LOSC Lille,€7.00m,,
Matej Jurasek,Right Winger,21.0,Czech Republic,Norwich City,€7.00m,,
Aljoscha Kemlein,Defensive Midfield,20.0,Germany,1.FC Union Berlin,€7.00m,,
William Osula,Centre-Forward,21.0,Denmark,Newcastle United,€7.00m,,
Luciano Valente,Attacking Midfield,21.0,Netherlands,Feyenoord Rotterdam,€7.00m,,
Cristian Volpato,Attacking Midfield,21.0,Italy,US Sassuolo,€6.50m,,
João Simões,Central Midfield,18.0,Portugal,Sporting CP,€6.00m,,
Mihajlo Cvetkovic,Centre-Forward,18.0,Serbia,RSC Anderlecht,€6.00m,,
Matteo Prati,Defensive Midfield,21.0,Italy,Cagliari Calcio,€6.00m,,
Taylan Bulut,Right-Back,19.0,Germany,FC Schalke 04,€6.00m,,
Gvidas Gineitis,Central Midfield,21.0,Lithuania,Torino FC,€6.00m,,
Justin Devenny,Central Midfield,21.0,Northern Ireland,Crystal Palace,€6.00m,,
Aaron Zehnter,Left Midfield,20.0,Germany,VfL Wolfsburg,€6.00m,,
Álex Valle,Left-Back,21.0,Spain,Como 1907,€6.00m,,
Romeo Vermant,Centre-Forward,21.0,Belgium,Club Brugge KV,€6.00m,,
Kacper Urbanski,Central Midfield,20.0,Poland,Bologna FC 1909,€6.00m,,
Vanja Vlahović,Centre-Forward,21.0,Serbia,Spezia Calcio,€6.00m,,
Carlos Álvarez,Right Winger,21.0,Spain,Levante UD,€6.00m,,
Hugo Bolin,Left Midfield,21.0,Sweden,Malmö FF,€6.00m,,
Lamare Bogarde,Defensive Midfield,21.0,Netherlands,Aston Villa,€6.00m,,
Jens Castrop,Central Midfield,21.0,Germany,Borussia Mönchengladbach,€6.00m,,
Umut Tohumcu,Central Midfield,20.0,Germany,TSG 1899 Hoffenheim,€6.00m,,
Youri Regeer,Central Midfield,21.0,Netherlands,Ajax Amsterdam,€6.00m,,
Taha Altıkardeş,Centre-Back,21.0,Türkiye,Göztepe,€5.50m,,
Mario Mitaj,Left-Back,21.0,Albania,Al-Ittihad Club,€5.50m,,
Samuele Angori,Left-Back,21.0,Italy,Pisa Sporting Club,€5.50m,,
Mohamed Kader Meïté,Centre-Forward,17.0,France,Stade Rennais FC,€5.00m,,
Ayden Heaven,Centre-Back,18.0,England,Manchester United,€5.00m,,
Honest Ahanor,Left-Back,17.0,Italy,Atalanta BC,€5.00m,,
Mustafa Hekimoğlu,Centre-Forward,18.0,Türkiye,Besiktas JK,€5.00m,,
Taras Mykhavko,Centre-Back,20.0,Ukraine,Dynamo Kyiv,€5.00m,,
Fer López,Right Winger,21.0,Spain,Wolverhampton Wanderers,€5.00m,,
Jeremy Agbonifo,Right Winger,19.0,Sweden,RC Lens,€5.00m,,
Chido Obi,Centre-Forward,17.0,Denmark,Manchester United,€5.00m,,
Marc Bernal,Defensive Midfield,18.0,Spain,FC Barcelona,€5.00m,,
Harry Amass,Left-Back,18.0,England,Manchester United,€5.00m,,
Zachary Athekame,Right-Back,20.0,Switzerland,BSC Young Boys,€5.00m,,
Edvin Austbø,Left Winger,20.0,Norway,Viking FK,€5.00m,,
Pablo García,Right Winger,19.0,Spain,Betis Deportivo Balompié,€5.00m,,
Clement Bischoff,Left Winger,19.0,Denmark,Bröndby IF,€5.00m,,
Jahmai Simpson-Pusey,Centre-Back,19.0,England,Manchester City U21,€5.00m,,
Jeff Ekhator,Centre-Forward,18.0,Italy,Genoa CFC,€5.00m,,
Jens Hjertø-Dahl,Central Midfield,19.0,Norway,Tromsø IL,€5.00m,,
Ethan Mbappé,Central Midfield,18.0,France,LOSC Lille,€5.00m,,
Chissumba,Left-Back,20.0,Portugal,SC Braga,€5.00m,,
Adam Daghim,Centre-Forward,19.0,Denmark,Red Bull Salzburg,€5.00m,,
Simone Pafundi,Attacking Midfield,19.0,Italy,Udinese Calcio,€5.00m,,
Demir Ege Tıknaz,Central Midfield,20.0,Türkiye,Besiktas JK,€5.00m,,
Kees Smit,Central Midfield,19.0,Netherlands,AZ Alkmaar,€5.00m,,
Milos Lukovic,Centre-Forward,19.0,Serbia,RC Strasbourg Alsace,€5.00m,,
Noah Nartey,Central Midfield,19.0,Denmark,Bröndby IF,€5.00m,,
Mert Kömür,Attacking Midfield,20.0,Germany,FC Augsburg,€5.00m,,
Williot Swedberg,Left Winger,21.0,Sweden,Celta de Vigo,€5.00m,,
Yassine Titraoui,Central Midfield,21.0,Algeria,Royal Charleroi SC,€5.00m,,
Nino Marcelli,Left Winger,20.0,Slovakia,Slovan Bratislava,€5.00m,,
Leo Sauer,Left Winger,19.0,Slovakia,Feyenoord Rotterdam,€5.00m,,
Tim Oermann,Centre-Back,21.0,Germany,SK Sturm Graz,€5.00m,,
Mathias Løvik,Left-Back,21.0,Norway,Parma Calcio 1913,€5.00m,,
Jakob Breum,Attacking Midfield,21.0,Denmark,Go Ahead Eagles,€5.00m,,
Toby Collyer,Defensive Midfield,21.0,England,Manchester United,€5.00m,,
Anton Kade,Right Midfield,21.0,Germany,FC Basel 1893,€5.00m,,
Cher Ndour,Central Midfield,20.0,Italy,ACF Fiorentina,€5.00m,,
Antoni Kozubal,Defensive Midfield,20.0,Poland,Lech Poznan,€5.00m,,
Yunus Emre Konak,Defensive Midfield,19.0,Türkiye,Brentford FC,€4.50m,,
Trey Nyoni,Central Midfield,18.0,England,Liverpool FC U21,€4.50m,,
İsak Vural,Central Midfield,19.0,Türkiye,Pisa Sporting Club,€4.50m,,
Noah Adedeji-Sternberg,Left Winger,20.0,Belgium,KRC Genk,€4.50m,,
Kyriani Sabbe,Right-Back,20.0,Belgium,Club Brugge KV,€4.50m,,
Georgios Koutsias,Centre-Forward,21.0,Greece,FC Lugano,€4.50m,,
Matej Sin,Attacking Midfield,21.0,Czech Republic,FC Banik Ostrava,€4.50m,,
Bobby Clark,Central Midfield,20.0,England,Red Bull Salzburg,€4.50m,,
Dor Turgeman,Centre-Forward,21.0,Israel,Maccabi Tel Aviv,€4.50m,,
Matteo Dams,Left-Back,21.0,Belgium,Al-Ahli SFC,€4.50m,,
Rav van den Berg,Centre-Back,21.0,Netherlands,Middlesbrough FC,€4.50m,,
Kacper Kozlowski,Attacking Midfield,21.0,Poland,Gaziantep FK,€4.20m,,
Love Arrhov,Attacking Midfield,17.0,Sweden,IF Brommapojkarna,€4.00m,,
Amadou Koné,Defensive Midfield,20.0,Cote d'Ivoire,NEOM SC,€4.00m,,
Louis Leroux,Attacking Midfield,19.0,France,FC Nantes,€4.00m,,
Papa Amadou Diallo,Left Winger,21.0,Senegal,FC Metz,€4.00m,,
Emmanuel Biumla,Centre-Back,20.0,France,Angers SCO,€4.00m,,
Deniz Gül,Centre-Forward,21.0,Türkiye,FC Porto,€4.00m,,
Jan Ziolkowski,Centre-Back,20.0,Poland,Legia Warszawa,€4.00m,,
Yaya Fofana,Central Midfield,21.0,Cote d'Ivoire,Stade Reims,€4.00m,,
Ilyas Ansah,Centre-Forward,20.0,Germany,1.FC Union Berlin,€4.00m,,
Adrian Przyborek,Right Winger,18.0,Poland,Pogon Szczecin,€4.00m,,
Jaydee Canvot,Centre-Back,18.0,France,FC Toulouse,€4.00m,,
Mattia Liberali,Attacking Midfield,18.0,Italy,AC Milan Primavera,€4.00m,,
Vasilije Adžić,Attacking Midfield,19.0,Montenegro,Juventus FC,€4.00m,,
Adam Aznou,Left-Back,19.0,Morocco,Bayern Munich,€4.00m,,
Samuel Amo-Ameyaw,Right Winger,19.0,England,RC Strasbourg Alsace,€4.00m,,
Hugo Sotelo,Central Midfield,21.0,Spain,Celta de Vigo,€4.00m,,
Kevin Zeroli,Central Midfield,20.0,Italy,AC Monza,€4.00m,,
Oliver Braude,Right-Back,21.0,Norway,SC Heerenveen,€4.00m,,
Maxi Oyedele,Defensive Midfield,20.0,Poland,RC Strasbourg Alsace,€4.00m,,
Junior Ligue,Left-Back,20.0,Switzerland,FC Zürich,€4.00m,,
Mihailo Ivanovic,Centre-Forward,20.0,Serbia,Millwall FC,€4.00m,,
Dzenan Pejcinovic,Centre-Forward,20.0,Germany,VfL Wolfsburg,€4.00m,,
Max Finkgräfe,Left-Back,21.0,Germany,RB Leipzig,€4.00m,,
Cheveyo Tsawa,Central Midfield,18.0,Switzerland,FC Zürich,€4.00m,,
Willy Kambwala,Centre-Back,20.0,France,Villarreal CF,€4.00m,,
Arijon Ibrahimovic,Attacking Midfield,19.0,Germany,1.FC Heidenheim 1846,€4.00m,,
David Mella,Right Winger,20.0,Spain,Deportivo de La Coruña,€4.00m,,
Ernest Poku,Right Winger,21.0,Netherlands,AZ Alkmaar,€4.00m,,
Keke Topp,Centre-Forward,21.0,Germany,SV Werder Bremen,€4.00m,,
Kristian Hlynsson,Attacking Midfield,21.0,Iceland,Twente Enschede FC,€4.00m,,
Markus Karlsson,Central Midfield,21.0,Sweden,Hammarby IF,€4.00m,,
Divin Mubama,Centre-Forward,20.0,England,Stoke City,€4.00m,,
