name,position,age,nation,club,value,confederation,league
Hugo Nervo,Centre-Back,34,Argentina,CA Huracán,€600k,,
Mateusz Klich,Central Midfield,35,Poland,MLS Pool,€600k,,
Johann Berg Gudmundsson,Right Winger,34,Iceland,Al-Dhafra FC,€600k,,
Aleksandr Kokorin,Second Striker,34,Russia,Aris Limassol,€600k,,
Roderick Miranda,Centre-Back,34,Portugal,Melbourne Victory,€600k,,
Nahir Besara,Attacking Midfield,34,Sweden,Hammarby IF,€600k,,
Denis Alibec,Centre-Forward,34,Romania,FCSB,€600k,,
Stefan Schwab,Central Midfield,34,Austria,Holstein Kiel,€600k,,
Christopher Trimmel,Right-Back,38,Austria,1.FC Union Berlin,€600k,,
Gael Kakuta,Attacking Midfield,34,DR Congo,Sakaryaspor,€600k,,
Camilo Vargas,Goalkeeper,36,Colombia,Atlas Guadalajara,€600k,,
Youssef Msakni,Left Winger,34,Tunisia,Without Club,€600k,,
Jorge Pulido,Centre-Back,34,Spain,SD Huesca,€600k,,
Wes Foderingham,Goalkeeper,34,England,West Ham United,€600k,,
Aaron Ramsey,Central Midfield,34,Wales,UNAM Pumas,€600k,,
Ibrahim Sehic,Goalkeeper,36,Bosnia-Herzegovina,Corum FK,€600k,,
Andre Ayew,Centre-Forward,35,Ghana,Without Club,€600k,,
Dejan Lovren,Centre-Back,36,Croatia,PAOK Thessaloniki,€600k,,
Joao Moutinho,Central Midfield,38,Portugal,SC Braga,€600k,,
Utkir Yusupov,Goalkeeper,34,Uzbekistan,Foolad FC,€550k,,
Martin Barragan,Centre-Forward,34,Mexico,Celaya FC,€550k,,
Raul Ruidiaz,Centre-Forward,35,Peru,Club Atlético Grau,€550k,,
Amir Sayoud,Attacking Midfield,34,Algeria,Without Club,€550k,,
Vina,Attacking Midfield,34,Brazil,Al-Jubail Club,€550k,,
Ryad Boudebouz,Attacking Midfield,35,Algeria,JS Kabylie,€550k,,
Andros Townsend,Right Winger,34,England,Antalyaspor,€550k,,
Rodrigo Aliendro,Central Midfield,34,Argentina,CA Vélez Sarsfield,€500k,,
Davidson,Left Winger,34,Brazil,Qingdao West Coast,€500k,,
Keno,Left Winger,35,Brazil,Fluminense Football Club,€500k,,
Jun Amano,Attacking Midfield,34,Japan,Yokohama F. Marinos,€500k,,
Joao Ricardo,Goalkeeper,36,Brazil,Fortaleza Esporte Clube,€500k,,
Sergi Guardiola,Centre-Forward,34,Spain,Córdoba CF,€500k,,
Jose Luis Morales,Centre-Forward,38,Spain,Levante UD,€500k,,
Ruben Alcaraz,Central Midfield,34,Spain,Cádiz CF,€500k,,
Deyverson,Centre-Forward,34,Brazil,Fortaleza Esporte Clube,€500k,,
Leandre Tawamba,Centre-Forward,35,Cameroon,Al-Tai FC,€500k,,
Mourad Batna,Right Winger,35,Morocco,Without Club,€500k,,
Lucas Lima,Attacking Midfield,35,Brazil,Sport Club do Recife,€500k,,
Guelor Kanga,Central Midfield,34,Gabon,Esenler Erokspor,€500k,,
Michael Ngadeu,Centre-Back,34,Cameroon,Beijing Guoan,€500k,,
Oscar Plano,Second Striker,34,Spain,Without Club,€500k,,
Gaston Gimenez,Defensive Midfield,34,Paraguay,Club Cerro Porteño,€500k,,
Marcus Rohden,Central Midfield,34,Sweden,AEK Larnaca,€500k,,
Everaldo,Centre-Forward,34,Brazil,Fluminense Football Club,€500k,,
Roque Mesa,Central Midfield,36,Spain,Without Club,€500k,,
Vladimir Darida,Central Midfield,34,Czech Republic,FC Hradec Kralove,€500k,,
Jean Michael Seri,Defensive Midfield,34,Cote d'Ivoire,Without Club,€500k,,
Jesus Imaz,Attacking Midfield,34,Spain,Jagiellonia Bialystok,€500k,,
Islam Slimani,Centre-Forward,37,Algeria,CR Belouizdad,€500k,,
Garry Rodrigues,Left Winger,34,Cape Verde,Apollon Limassol,€500k,,
Bit-garam Yoon,Central Midfield,35,"Korea, South",Suwon FC,€500k,,
Brecht Dejaegere,Central Midfield,34,Belgium,KV Kortrijk,€500k,,
Luis Rodriguez,Right-Back,34,Mexico,CF Pachuca,€500k,,
Santos,Goalkeeper,35,Brazil,Club Athletico Paranaense,€500k,,
Kook-young Han,Defensive Midfield,35,"Korea, South",Jeonbuk Hyundai Motors,€500k,,
Rogelio Funes Mori,Centre-Forward,34,Mexico,Club León FC,€500k,,
Alexandru Maxim,Attacking Midfield,35,Romania,Gaziantep FK,€500k,,
Hugo Gonzalez,Goalkeeper,34,Mexico,Deportivo Toluca,€500k,,
Leonardo Gil,Central Midfield,34,Chile,CA Huracán,€500k,,
Sergiy Sydorchuk,Defensive Midfield,34,Ukraine,KVC Westerlo,€500k,,
Hotaru Yamaguchi,Defensive Midfield,34,Japan,V-Varen Nagasaki,€500k,,
Tae-hee Nam,Attacking Midfield,34,"Korea, South",Jeju SK,€500k,,
Carlos Izquierdoz,Centre-Back,36,Argentina,CA Lanús,€500k,,
Gunay Guvenc,Goalkeeper,34,Türkiye,Galatasaray,€500k,,
Javier Aquino,Right-Back,35,Mexico,Tigres UANL,€500k,,
Diego de Buen,Defensive Midfield,34,Mexico,Club Necaxa,€500k,,
Joel Robles,Goalkeeper,35,Spain,GD Estoril Praia,€500k,,
Fabio Borini,Left Winger,34,Italy,Without Club,€500k,,
Pedro Gallese,Goalkeeper,35,Peru,Orlando City SC,€500k,,
Joel Ward,Right-Back,35,England,Without Club,€500k,,
Aaron Cresswell,Left-Back,35,England,Stoke City,€500k,,
Ruben Botta,Attacking Midfield,35,Argentina,CA Talleres,€500k,,
Alexandros Paschalakis,Goalkeeper,35,Greece,Olympiacos Piraeus,€500k,,
Marco Silvestri,Goalkeeper,34,Italy,Without Club,€500k,,
Eran Zahavi,Centre-Forward,38,Israel,Without Club,€500k,,
James Forrest,Right Winger,34,Scotland,Celtic FC,€500k,,
Hiroki Sakai,Right-Back,35,Japan,Auckland FC,€500k,,
Tjaronn Chery,Attacking Midfield,37,Suriname,NEC Nijmegen,€500k,,
Nicolas Lodeiro,Attacking Midfield,36,Uruguay,Club Nacional,€500k,,
Adrian,Goalkeeper,38,Spain,Real Betis Balompié,€500k,,
Jens Stryger Larsen,Right-Back,34,Denmark,Malmö FF,€500k,,
Milan Rodic,Left-Back,34,Serbia,FC Zürich,€500k,,
Seamus Coleman,Right-Back,36,Ireland,Everton FC,€500k,,
Rafael,Goalkeeper,36,Brazil,São Paulo Futebol Clube,€500k,,
Cheikhou Kouyate,Defensive Midfield,35,Senegal,Without Club,€500k,,
Jonathan dos Santos,Defensive Midfield,35,Mexico,CF América,€500k,,
Victor Moses,Right Winger,34,Nigeria,Without Club,€500k,,
Lewis Holtby,Central Midfield,34,Germany,Without Club,€500k,,
Johnny Russell,Right Winger,35,Scotland,Real Salt Lake City,€500k,,
Nicolas Hofler,Defensive Midfield,35,Germany,SC Freiburg,€500k,,
Giuliano,Attacking Midfield,35,Brazil,Club Athletico Paranaense,€500k,,
Jay Rodriguez,Centre-Forward,35,England,Wrexham AFC,€500k,,
Patrick van Aanholt,Left-Back,34,Netherlands,Sparta Rotterdam,€500k,,
Zanka,Centre-Back,35,Denmark,Los Angeles Galaxy,€500k,,
Danijel Aleksic,Attacking Midfield,34,Serbia,Konyaspor,€500k,,
Teemu Pukki,Centre-Forward,35,Finland,HJK Helsinki,€500k,,
Moussa Sissoko,Central Midfield,35,France,Watford FC,€500k,,
Adel Taarabt,Central Midfield,36,Morocco,Sharjah FC,€500k,,
Mario Balotelli,Centre-Forward,34,Italy,Without Club,€500k,,
Sven Ulreich,Goalkeeper,36,Germany,Without Club,€500k,,
Massimo Coda,Centre-Forward,36,Italy,UC Sampdoria,€500k,,
Oscar Trejo,Attacking Midfield,37,Argentina,Rayo Vallecano,€500k,,
Lukasz Fabianski,Goalkeeper,40,Poland,Without Club,€500k,,
Guillermo Ochoa,Goalkeeper,40,Mexico,Without Club,€500k,,
Steve Mandanda,Goalkeeper,40,France,Without Club,€500k,,
Ron-Robert Zieler,Goalkeeper,36,Germany,1.FC Köln,€500k,,
Kasper Schmeichel,Goalkeeper,38,Denmark,Celtic FC,€500k,,
Dante,Centre-Back,41,Brazil,OGC Nice,€500k,,
Ashley Young,Right-Back,40,England,Ipswich Town,€500k,,
Guilherme,Left-Back,35,Brazil,Konyaspor,€475k,,
Ahmed Hammoudan,Left Winger,34,Morocco,AS FAR Rabat,€450k,,
Michael Barrios,Right Winger,34,Colombia,Once Caldas,€450k,,
Josan,Right Winger,35,Spain,Elche CF,€450k,,
Larbi Naji,Defensive Midfield,34,Morocco,Without Club,€450k,,
Pedro Bigas,Centre-Back,35,Spain,Elche CF,€450k,,
Stanislav Ilyuchenko,Centre-Forward,34,Russia,Suwon Samsung Bluewings,€450k,,
Sven Michel,Left Winger,35,Germany,SC Paderborn 07,€450k,,
Kyo-won Han,Right Winger,35,"Korea, South",Chungnam Asan,€450k,,
Marcus Antonsson,Centre-Forward,34,Sweden,IFK Värnamo,€450k,,
Matias Zaldivia,Centre-Back,34,Chile,Club Universidad de Chile,€450k,,
Peter Szappanos,Goalkeeper,34,Hungary,Without Club,€450k,,
Robson,Right Winger,34,Brazil,Grêmio Novorizontino,€450k,,
Tae-hwan Kim,Right-Back,36,"Korea, South",Jeonbuk Hyundai Motors,€450k,,
Jeong-ho Hong,Centre-Back,35,"Korea, South",Jeonbuk Hyundai Motors,€450k,,
Ahmed El Shenawy,Goalkeeper,34,Egypt,Pyramids FC,€450k,,
Ryan Mendes,Left Winger,35,Cape Verde,Kocaelispor,€450k,,
Robert Mak,Left Winger,34,Slovakia,Slovan Bratislava,€450k,,
Hasan Al-Haydos,Attacking Midfield,34,Qatar,Al-Sadd SC,€450k,,
Sung-yueng Ki,Defensive Midfield,36,"Korea, South",Pohang Steelers,€450k,,
Martin Montoya,Right-Back,34,Spain,Without Club,€450k,,
Panagiotis Tachtsidis,Defensive Midfield,34,Greece,Without Club,€450k,,
Bibras Natcho,Attacking Midfield,37,Israel,FK Partizan Belgrade,€450k,,
Bruno Henrique,Central Midfield,35,Brazil,Sport Club Internacional,€400k,,
Christian Ramirez,Centre-Forward,34,United States,Los Angeles Galaxy,€400k,,
Moustapha Zeghba,Goalkeeper,34,Algeria,CR Belouizdad,€400k,,
Jaime Mata,Centre-Forward,36,Spain,UD Las Palmas,€400k,,
Jaume Domenech,Goalkeeper,34,Spain,Without Club,€400k,,
Reinaldo,Left-Back,35,Brazil,Mirassol Futebol Clube (SP),€400k,,
Fafa Picault,Left Winger,34,Haiti,Inter Miami CF,€400k,,
Yunis Abdelhamid,Centre-Back,37,Morocco,AS FAR Rabat,€400k,,
Maikel Mesa,Attacking Midfield,34,Spain,CD Tenerife,€400k,,
Julian Cuesta,Goalkeeper,34,Spain,Aris Thessaloniki,€400k,,
Yimmi Chara,Right Winger,34,Colombia,Junior FC,€400k,,
Gregoire Defrel,Centre-Forward,34,France,Modena FC,€400k,,
Bebe,Left Winger,35,Cape Verde,UD Ibiza,€400k,,
Florian Niederlechner,Centre-Forward,34,Germany,TSV 1860 Munich,€400k,,
Aviles Hurtado,Left Winger,38,Colombia,Deportivo Cali,€400k,,
Istvan Bognar,Attacking Midfield,34,Hungary,MTK Budapest,€400k,,
Caio Canedo,Centre-Forward,34,United Arab Emirates,Al-Wahda FC,€400k,,
Armando Sadiku,Centre-Forward,34,Albania,Without Club,€400k,,
Nicolas Pallois,Centre-Back,37,France,Stade Reims,€400k,,
Alessio Curcio,Left Winger,35,Italy,Ternana Calcio,€400k,,
William Tesillo,Centre-Back,35,Colombia,Atlético Nacional,€400k,,
Edgar Mendez,Right Winger,35,Spain,Bengaluru FC,€400k,,
Lorenzo Melgarejo,Left Winger,34,Paraguay,Club Libertad Asunción,€400k,,
Benjamin Stambouli,Defensive Midfield,34,France,FC Metz,€400k,,
Sean Johnson,Goalkeeper,36,United States,Toronto FC,€400k,,
Mathew Leckie,Left Winger,34,Australia,Melbourne City FC,€400k,,
Lisandro Lopez,Centre-Back,35,Argentina,Club Atlético Belgrano,€400k,,
Jan Gregus,Central Midfield,34,Slovakia,Without Club,€400k,,
Attila Fiola,Right-Back,35,Hungary,Újpest FC,€400k,,
Rhyan Grant,Right-Back,34,Australia,Sydney FC,€400k,,
Franko Andrijasevic,Attacking Midfield,34,Croatia,Zhejiang FC,€400k,,
Thomas Lehne Olsen,Centre-Forward,34,Norway,Lillestrøm SK,€400k,,
Gotoku Sakai,Right-Back,34,Japan,Vissel Kobe,€400k,,
Sergey Petrov,Right-Back,34,Russia,FC Krasnodar,€400k,,
Gheorghe Grozav,Left Winger,34,Romania,Petrolul Ploiesti,€400k,,
Marc Mateu,Left-Back,35,Spain,CD Tenerife,€400k,,
Aleksandar Pejovic,Defensive Midfield,34,Serbia,FK Radnik Surdulica,€400k,,
Nick Viergever,Centre-Back,35,Netherlands,FC Utrecht,€400k,,
Ashley Westwood,Defensive Midfield,35,England,Charlotte FC,€400k,,
Gylfi Sigurdsson,Attacking Midfield,35,Iceland,Víkingur Reykjavík,€400k,,
Osmar,Centre-Back,37,Spain,Seoul E-Land,€400k,,
Ignacio Malcorra,Attacking Midfield,38,Argentina,CA Rosario Central,€400k,,
Lucas Mendes,Centre-Back,35,Qatar,Al-Wakrah SC,€400k,,
Bryan Linssen,Centre-Forward,34,Netherlands,NEC Nijmegen,€400k,,
Alexander Ring,Central Midfield,34,Finland,HJK Helsinki,€400k,,
Sergio Padt,Goalkeeper,35,Netherlands,Ludogorets Razgrad,€400k,,
Genki Haraguchi,Attacking Midfield,34,Japan,Urawa Red Diamonds,€400k,,
Necip Uysal,Centre-Back,34,Türkiye,Besiktas JK,€400k,,
Miroslav Stevanovic,Right Midfield,34,Bosnia-Herzegovina,Servette FC,€400k,,
Marinho,Right Winger,35,Brazil,Fortaleza Esporte Clube,€400k,,
David Ospina,Goalkeeper,36,Colombia,Atlético Nacional,€400k,,
Lucas Perez,Centre-Forward,36,Spain,Without Club,€400k,,
Artur Nigmatullin,Goalkeeper,34,Russia,Rubin Kazan,€400k,,
Ganso,Attacking Midfield,35,Brazil,Fluminense Football Club,€400k,,
Ilie Sanchez,Defensive Midfield,34,Spain,Austin FC,€400k,,
Pizzi,Attacking Midfield,35,Portugal,GD Estoril Praia,€400k,,
Tomas Vaclik,Goalkeeper,36,Czech Republic,Without Club,€400k,,
Magnus Wolff Eikrem,Second Striker,34,Norway,Molde FK,€400k,,
Ermin Bicakcic,Centre-Back,35,Bosnia-Herzegovina,Without Club,€400k,,
Stevan Jovetic,Second Striker,35,Montenegro,Omonia Nicosia,€400k,,
Fernando Forestieri,Second Striker,35,Italy,AEL Limassol,€400k,,
Juan Mata,Attacking Midfield,37,Spain,Western Sydney Wanderers,€400k,,
Andre-Pierre Gignac,Centre-Forward,39,France,Tigres UANL,€400k,,
Ricky van Wolfswinkel,Centre-Forward,36,Netherlands,Twente Enschede FC,€400k,,
Max Gradel,Left Winger,37,Cote d'Ivoire,Without Club,€400k,,
Badou Ndiaye,Defensive Midfield,34,Senegal,Gaziantep FK,€375k,,
Fernando de Paul,Goalkeeper,34,Chile,CSD Colo-Colo,€375k,,
Ronnie Fernandez,Centre-Forward,34,Chile,CD Palestino,€375k,,
Bergson,Centre-Forward,34,Brazil,Johor Darul Ta'zim,€375k,,
Luke Brattan,Defensive Midfield,35,Australia,Macarthur FC,€375k,,
Filip Kurto,Goalkeeper,34,Poland,Macarthur FC,€375k,,
Robert Beric,Centre-Forward,34,Slovenia,Changchun Yatai Reserves,€375k,,
Hernesto Caballero,Central Midfield,34,Paraguay,Club Libertad Asunción,€350k,,
Gaston Suso,Centre-Back,34,Argentina,Club de Gimnasia y Esgrima La Plata,€350k,,
Lamine Diakite,Centre-Forward,34,Cote d'Ivoire,FUS Rabat,€350k,,
Jun Ichimori,Goalkeeper,34,Japan,Gamba Osaka,€350k,,
Raphael Odogwu,Centre-Forward,34,Italy,FC Südtirol,€350k,,
Henk Veerman,Centre-Forward,34,Netherlands,FC Volendam,€350k,,
Ronivaldo,Centre-Forward,36,Austria,FC Blau-Weiss Linz,€350k,,
Juanma Delgado,Centre-Forward,34,Spain,V-Varen Nagasaki,€350k,,
Myung-joo Lee,Central Midfield,35,"Korea, South",Incheon United,€350k,,
Michele Castagnetti,Defensive Midfield,35,Italy,US Cremonese,€350k,,
Ki-je Lee,Left-Back,34,"Korea, South",Suwon Samsung Bluewings,€350k,,
Luvannor,Centre-Forward,35,Moldova,Without Club,€350k,,
Liel Abada,Right Winger,23,Israel,Charlotte FC,€7.00m,,MLS
Hany Mukhtar,Attacking Midfield,30,Germany,Nashville SC,€6.00m,,MLS
Kelvin Yeboah,Centre-Forward,25,Italy,Minnesota United FC,€6.00m,,MLS
Daniel Gazdag,Attacking Midfield,29,Hungary,Columbus Crew,€6.00m,,MLS
Petar Musa,Centre-Forward,27,Croatia,FC Dallas,€6.00m,,MLS
David Da Costa,Attacking Midfield,24,Portugal,Portland Timbers,€6.00m,,MLS
Ryan Gauld,Attacking Midfield,29,Scotland,Vancouver Whitecaps FC,€6.00m,,MLS
Dejan Joveljic,Centre-Forward,25,Serbia,Sporting Kansas City,€5.50m,,MLS
Sam Surridge,Centre-Forward,26,England,Nashville SC,€5.00m,,MLS
Kai Wagner,Left-Back,28,Germany,Philadelphia Union,€5.00m,,MLS
Tai Baribo,Centre-Forward,27,Israel,Philadelphia Union,€5.00m,,MLS
Marco Pasalic,Right Winger,24,Croatia,Orlando City SC,€5.00m,,MLS
Marcel Hartel,Central Midfield,29,Germany,St. Louis CITY SC,€4.50m,,MLS
Pep Biel,Attacking Midfield,28,Spain,Charlotte FC,€4.50m,,MLS
Eduard Lowen,Central Midfield,28,Germany,St. Louis CITY SC,€4.00m,,MLS
Pedro de la Vega,Right Winger,24,Argentina,Seattle Sounders FC,€4.00m,,MLS
Marcus Ingvartsen,Centre-Forward,29,Denmark,San Diego FC,€4.00m,,MLS
Braian Ojeda,Central Midfield,25,Paraguay,Real Salt Lake City,€4.00m,,MLS
Onni Valakari,Attacking Midfield,25,Finland,San Diego FC,€4.00m,,MLS
Adilson Malanda,Centre-Back,23,France,Charlotte FC,€4.00m,,MLS
Andres Cubas,Defensive Midfield,29,Paraguay,Vancouver Whitecaps FC,€4.00m,,MLS
Lewis Morgan,Left Winger,28,Scotland,New York Red Bulls,€4.00m,,MLS
Saba Lobjanidze,Left Winger,30,Georgia,Atlanta United FC,€4.00m,,MLS
Bartosz Slisz,Defensive Midfield,26,Poland,Atlanta United FC,€4.00m,,MLS
Enea Mihaj,Centre-Back,27,Albania,Atlanta United FC,€4.00m,,MLS
Cedric Teuchert,Centre-Forward,28,Germany,St. Louis CITY SC,€3.50m,,MLS
Jakob Glesnes,Centre-Back,31,Norway,Philadelphia Union,€3.50m,,MLS
Joaquin Pereyra,Central Midfield,26,Argentina,Minnesota United FC,€3.50m,,MLS
Manu Garcia,Attacking Midfield,27,Spain,Sporting Kansas City,€3.50m,,MLS
Igor Jesus,Defensive Midfield,22,Brazil,Los Angeles FC,€3.50m,,MLS
Ahmed Qasem,Right Winger,22,Sweden,Nashville SC,€3.50m,,MLS
Hugo Picard,Left Midfield,22,France,Columbus Crew,€3.50m,,MLS
Cesar Araujo,Defensive Midfield,24,Uruguay,Orlando City SC,€3.50m,,MLS
Albert Rusnak,Attacking Midfield,31,Slovakia,Seattle Sounders FC,€3.50m,,MLS
Diogo Goncalves,Left Winger,28,Portugal,Real Salt Lake City,€3.50m,,MLS
Santiago Moreno,Right Winger,25,Colombia,Portland Timbers,€3.50m,,MLS
Chiedozie Ogbene,Right Winger,28,Ireland,Ipswich Town,€7.00m,,Championship
Ben Sheaf,Defensive Midfield,27,England,Coventry City,€7.00m,,Championship
Jason Knight,Central Midfield,24,Ireland,Bristol City,€7.00m,,Championship
Anis Mehmeti,Left Winger,24,Albania,Bristol City,€7.00m,,Championship
Josh Eccles,Central Midfield,25,England,Coventry City,€7.00m,,Championship
Ephron Mason-Clark,Left Winger,25,England,Coventry City,€6.50m,,Championship
Samuel Edozie,Left Winger,22,England,Southampton FC,€6.00m,,Championship
Luke Thomas,Left-Back,24,England,Leicester City,€6.00m,,Championship
Ellis Simms,Centre-Forward,24,England,Coventry City,€6.00m,,Championship
Conor Chaplin,Second Striker,28,England,Ipswich Town,€6.00m,,Championship
Will Smallbone,Central Midfield,25,Ireland,Southampton FC,€6.00m,,Championship
Carlton Morris,Centre-Forward,29,England,Derby County,€5.50m,,Championship
Matt Grimes,Defensive Midfield,30,England,Coventry City,€5.00m,,Championship
Ben Wilmot,Centre-Back,25,England,Stoke City,€4.80m,,Championship
Emil Riis,Centre-Forward,27,Denmark,Bristol City,€4.50m,,Championship
Ricardo Pereira,Right-Back,31,Portugal,Leicester City,€4.50m,,Championship
Giorgi Chakvetadze,Attacking Midfield,25,Georgia,Watford FC,€4.50m,,Championship
Ryan Giles,Left-Back,25,England,Hull City,€4.50m,,Championship
Harry Clarke,Right-Back,24,England,Ipswich Town,€4.50m,,Championship
Liam Kitching,Centre-Back,25,England,Coventry City,€4.50m,,Championship
Scott Twine,Attacking Midfield,26,England,Bristol City,€4.50m,,Championship
Nathan Broadhead,Left Winger,27,Wales,Ipswich Town,€4.50m,,Championship
Calvin Stengs,Attacking Midfield,26,Netherlands,Feyenoord Rotterdam,€7.00m,,Eredivisie
Chuba Akpom,Centre-Forward,29,England,Ajax Amsterdam,€7.00m,,Eredivisie
Jordan Lotomba,Right-Back,26,Switzerland,Feyenoord Rotterdam,€6.50m,,Eredivisie
Casper Tengstedt,Centre-Forward,25,Denmark,Feyenoord Rotterdam,€6.00m,,Eredivisie
Adamo Nagalo,Centre-Back,22,Burkina Faso,PSV Eindhoven,€6.00m,,Eredivisie
Bart van Rooij,Right-Back,24,Netherlands,Twente Enschede FC,€6.00m,,Eredivisie
Oliver Antman,Right Winger,23,Finland,Go Ahead Eagles,€6.00m,,Eredivisie
Oliver Edvardsen,Left Winger,26,Norway,Ajax Amsterdam,€5.00m,,Eredivisie
Michel Vlap,Attacking Midfield,28,Netherlands,Twente Enschede FC,€5.00m,,Eredivisie
Ahmetcan Kaplan,Centre-Back,22,Türkiye,Ajax Amsterdam,€5.00m,,Eredivisie
Goncalo Borges,Right Winger,24,Portugal,Feyenoord Rotterdam,€5.00m,,Eredivisie
Kian Fitz-Jim,Central Midfield,22,Netherlands,Ajax Amsterdam,€5.00m,,Eredivisie
Alassane Plea,Centre-Forward,32,France,PSV Eindhoven,€5.00m,,Eredivisie
Miguel Rodriguez,Right Winger,22,Spain,FC Utrecht,€4.50m,,Eredivisie
Wout Weghorst,Centre-Forward,32,Netherlands,Ajax Amsterdam,€4.00m,,Eredivisie
Jacob Trenskow,Right Winger,24,Denmark,SC Heerenveen,€4.00m,,Eredivisie
Sontje Hansen,Right Winger,23,Netherlands,NEC Nijmegen,€4.00m,,Eredivisie
Sivert Mannsverk,Defensive Midfield,23,Norway,Ajax Amsterdam,€4.00m,,Eredivisie
Marcus Linday,Central Midfield,22,Sweden,SC Heerenveen,€4.00m,,Eredivisie
Sam Lammers,Centre-Forward,28,Netherlands,Twente Enschede FC,€4.00m,,Eredivisie
Daan Rots,Right Winger,24,Netherlands,Twente Enschede FC,€4.00m,,Eredivisie
Denso Kasius,Right-Back,22,Netherlands,AZ Alkmaar,€4.00m,,Eredivisie
Stije Resink,Defensive Midfield,22,Netherlands,FC Groningen,€4.00m,,Eredivisie
Steven Berghuis,Right Winger,33,Netherlands,Ajax Amsterdam,€3.50m,,Eredivisie
Zico Buurmeester,Central Midfield,23,Netherlands,AZ Alkmaar,€3.50m,,Eredivisie
Siebe Horemans,Right-Back,27,Belgium,FC Utrecht,€3.50m,,Eredivisie
Davy Klaassen,Central Midfield,32,Netherlands,Ajax Amsterdam,€3.50m,,Eredivisie
Kristijan Belic,Defensive Midfield,24,Serbia,AZ Alkmaar,€3.50m,,Eredivisie
Can Bozdogan,Central Midfield,24,Germany,FC Utrecht,€3.50m,,Eredivisie
Owen Wijndal,Left-Back,25,Netherlands,Ajax Amsterdam,€3.50m,,Eredivisie
Branco van den Boomen,Central Midfield,30,Netherlands,Ajax Amsterdam,€3.50m,,Eredivisie
Tobias Lauritsen,Centre-Forward,27,Norway,Sparta Rotterdam,€3.50m,,Eredivisie
Mayckel Lahdo,Right Winger,22,Sweden,AZ Alkmaar,€3.00m,,Eredivisie
Irfan Can Kahveci,Right Winger,30,Türkiye,Fenerbahce,€7.00m,,SuperLig
Przemyslaw Frankowski,Right-Back,30,Poland,Galatasaray,€7.00m,,SuperLig
Abdulkerim Bardakci,Centre-Back,30,Türkiye,Galatasaray,€7.00m,,SuperLig
Felix Uduokhai,Centre-Back,27,Germany,Besiktas JK,€7.00m,,SuperLig
Milot Rashica,Right Winger,29,Kosovo,Besiktas JK,€6.50m,,SuperLig
Mert Muldur,Right-Back,26,Türkiye,Fenerbahce,€6.00m,,SuperLig
Danylo Sikan,Centre-Forward,24,Ukraine,Trabzonspor,€6.00m,,SuperLig
Muhammed Cham,Attacking Midfield,24,Austria,Trabzonspor,€5.50m,,SuperLig
Emirhan Topcu,Centre-Back,24,Türkiye,Besiktas JK,€5.50m,,SuperLig
David Jurasek,Left-Back,24,Czech Republic,Besiktas JK,€5.00m,,SuperLig
Ahmed Kutucu,Left Winger,25,Türkiye,Galatasaray,€5.00m,,SuperLig
Derrick Kohn,Left-Back,26,Germany,Galatasaray,€5.00m,,SuperLig
Eren Elmali,Left-Back,25,Türkiye,Galatasaray,€5.00m,,SuperLig
Festy Ebosele,Right-Back,22,Ireland,Basaksehir FK,€4.60m,,SuperLig
Arseniy Batagov,Centre-Back,23,Ukraine,Trabzonspor,€4.50m,,SuperLig
Amir Hadziahmetovic,Defensive Midfield,28,Bosnia-Herzegovina,Besiktas JK,€4.50m,,SuperLig
Berat Ozdemir,Defensive Midfield,27,Türkiye,Basaksehir FK,€4.20m,,SuperLig
Kaan Ayhan,Centre-Back,30,Türkiye,Galatasaray,€4.00m,,SuperLig
Qazim Laci,Central Midfield,29,Albania,Caykur Rizespor,€4.00m,,SuperLig
Yusuf Sari,Right Winger,26,Türkiye,Basaksehir FK,€3.80m,,SuperLig
Carlo Holse,Attacking Midfield,26,Denmark,Samsunspor,€3.80m,,SuperLig
Abdulkadir Omur,Attacking Midfield,26,Türkiye,Antalyaspor,€3.60m,,SuperLig
Lincoln,Attacking Midfield,26,Brazil,Fenerbahce,€3.50m,,SuperLig
Calegari,Right-Back,23,Brazil,Eyüpspor,€3.50m,,SuperLig
Davie Selke,Centre-Forward,30,Germany,Basaksehir FK,€3.50m,,SuperLig
Denis Dragus,Centre-Forward,26,Romania,Eyüpspor,€3.50m,,SuperLig
Jakub Kaluzinski,Defensive Midfield,22,Poland,Antalyaspor,€3.50m,,SuperLig
Marius Mouandilmadji,Centre-Forward,27,Chad,Samsunspor,€3.50m,,SuperLig
Arbnor Muja,Right Winger,26,Albania,Samsunspor,€3.40m,,SuperLig
Berkan Kutlu,Central Midfield,27,Türkiye,Galatasaray,€3.20m,,SuperLig
Miguel Crespo,Central Midfield,28,Portugal,Basaksehir FK,€3.20m,,SuperLig
Tomas Cvancara,Centre-Forward,24,Czech Republic,Antalyaspor,€3.00m,,SuperLig
Enis Bardhi,Attacking Midfield,30,North Macedonia,Konyaspor,€3.00m,,SuperLig
Leo Duarte,Centre-Back,29,Brazil,Basaksehir FK,€3.00m,,SuperLig
Valentin Mihaila,Left Winger,25,Romania,Caykur Rizespor,€3.00m,,SuperLig
Joe Mendes,Right-Back,22,Sweden,Samsunspor,€3.00m,,SuperLig
Bakhtiyor Zaynutdinov,Left-Back,27,Kazakhstan,Besiktas JK,€3.00m,,SuperLig
Enis Destan,Centre-Forward,23,Türkiye,Trabzonspor,€3.00m,,SuperLig
