name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Piero Hincapie,DF,Centre_Back,23,Ecuador,CONMEBOL,Bayer 04 Leverkusen,Bundesliga,812.5,pierohincapie_ECU
Pierre-Emerick Aubameyang,FW,Striker,36,Gabon,CAF,Without Club,Without_Club,56.9,pierre-emerickaubameyang_GAB
Pierre-Emile Hojbjerg,MF,Defensive_Midfielder,29,Denmark,UEFA,Olympique Marseille,Ligue1,325.0,pierre-emilehojbjerg_DEN
Pierre Kalulu,DF,Centre_Back,25,France,UEFA,Juventus FC,Serie_A,455.0,pierrekalulu_FRA
Pietro Comuzzo,DF,Centre_Back,20,Italy,UEFA,ACF Fiorentina,Serie_A,406.2,pietrocomuzzo_ITA
Pietro Terracciano,GK,Goalkeeper,35,Italy,UEFA,AC Milan,Serie_A,16.2,pietroterracciano_ITA
Piotr Zielinski,MF,Central_Midfielder,31,Poland,UEFA,Inter Milan,Serie_A,162.5,piotrzielinski_POL
Pontus Jansson,DF,Centre_Back,34,Sweden,UEFA,Malmö FF,Allsvenskan,12.2,pontusjansson_SWE
Predrag Rajkovic,GK,Goalkeeper,29,Serbia,UEFA,Al-Ittihad Club,Saudi_ProLeague,130.0,predragrajkovic_SER
Promise David,FW,Striker,24,Canada,CONCACAF,Union Saint-Gilloise,Jupiler_ProLeague,178.8,promisedavid_CAN
Przemyslaw Frankowski,DF,Right_Back,30,Poland,UEFA,Galatasaray,SuperLig,113.8,przemyslawfrankowski_POL
Qazim Laci,MF,Central_Midfielder,29,Albania,UEFA,Caykur Rizespor,SuperLig,65.0,qazimlaci_ALB
Quentin Merlin,DF,Left_Back,23,France,UEFA,Stade Rennais FC,Ligue1,243.8,quentinmerlin_FRA
Quinten Timber,MF,Central_Midfielder,24,Netherlands,UEFA,Feyenoord Rotterdam,Eredivisie,487.5,quintentimber_NET
Rade Dugalic,DF,Centre_Back,32,Serbia,UEFA,Shenzhen Peng City,Chinese_SuperLeague,8.1,radedugalic_SER
Radek Vitek,GK,Goalkeeper,21,Czech Republic,UEFA,Manchester United U21,Other_leagues,32.5,radekvitek_CZE
Radoslaw Majecki,GK,Goalkeeper,25,Poland,UEFA,AS Monaco,Ligue1,97.5,radoslawmajecki_POL
Radu Dragusin,DF,Centre_Back,23,Romania,UEFA,Tottenham Hotspur,PremierLeague,406.2,radudragusin_ROM
Rafael Leao,FW,Left_Winger,26,Portugal,UEFA,AC Milan,Serie_A,1137.5,rafaelleao_POR
Rafael Navarro,FW,Striker,25,Brazil,CONMEBOL,Colorado Rapids,MLS,81.2,rafaelnavarro_BRA
Rafael Toloi,DF,Centre_Back,34,Italy,UEFA,Without Club,Without_Club,22.8,rafaeltoloi_ITA
Rafa Marin,DF,Centre_Back,23,Spain,UEFA,Villarreal CF,LaLiga,113.8,rafamarin_SPA
Rafik Belghali,DF,Right_Back,23,Algeria,CAF,KV Mechelen,Jupiler_ProLeague,40.6,rafikbelghali_ALG
Rafik Guitane,FW,Right_Winger,26,Algeria,CAF,GD Estoril Praia,Liga_Portugal,65.0,rafikguitane_ALG
Rafiu Durosinmi,FW,Striker,22,Nigeria,CAF,FC Viktoria Plzen,Chance_Liga,113.8,rafiudurosinmi_NIG
Ramiro Macagno,GK,Goalkeeper,28,Argentina,CONMEBOL,Without Club,Without_Club,16.2,ramiromacagno_ARG
Ramiz Zerrouki,MF,Defensive_Midfielder,27,Algeria,CAF,Feyenoord Rotterdam,Eredivisie,81.2,ramizzerrouki_ALG
Ramy Bensebaini,DF,Left_Back,30,Algeria,CAF,Borussia Dortmund,Bundesliga,113.8,ramybensebaini_ALG
Randal Kolo Muani,FW,Striker,26,France,UEFA,Paris Saint-Germain,Ligue1,487.5,randalkolomuani_FRA
Raphael Guerreiro,DF,Left_Back,31,Portugal,UEFA,Bayern Munich,Bundesliga,130.0,raphaelguerreiro_POR
Raphael Obermair,MF,Side_Midfielder,29,Philippines,AFC,SC Paderborn 07,Bundesliga_2,24.4,raphaelobermair_PHI
Raphael Odogwu,FW,Striker,34,Italy,UEFA,FC Südtirol,Serie_B,5.7,raphaelodogwu_ITA
Raphael Onyedika,MF,Defensive_Midfielder,24,Nigeria,CAF,Club Brugge KV,Jupiler_ProLeague,325.0,raphaelonyedika_NIG
Raphinha,FW,Left_Winger,28,Brazil,CONMEBOL,FC Barcelona,LaLiga,1462.5,raphinha_BRA
Rasmus Carstensen,DF,Right_Back,24,Denmark,UEFA,Aarhus GF,Danish_Superligaen,32.5,rasmuscarstensen_DEN
Rasmus Hojlund,FW,Striker,22,Denmark,UEFA,Manchester United,PremierLeague,568.8,rasmushojlund_DEN
Rasmus Kristensen,DF,Right_Back,28,Denmark,UEFA,Eintracht Frankfurt,Bundesliga,227.5,rasmuskristensen_DEN
Rasmus Lauritsen,DF,Centre_Back,29,Denmark,UEFA,Bröndby IF,Danish_Superligaen,27.6,rasmuslauritsen_DEN
Raul Albiol,DF,Centre_Back,39,Spain,UEFA,Without Club,Without_Club,16.2,raulalbiol_SPA
Raul Jimenez,FW,Striker,34,Mexico,CONCACAF,Fulham FC,PremierLeague,81.2,rauljimenez_MEX
Raul Ruidiaz,FW,Striker,35,Peru,CONMEBOL,Club Atlético Grau,Other_leagues,8.9,raulruidiaz_PER
Rav van den Berg,DF,Centre_Back,21,Netherlands,UEFA,Middlesbrough FC,Championship,73.1,ravvandenberg_NET
Rayan Ait-Nouri,DF,Left_Back,24,Algeria,CAF,Manchester City,PremierLeague,568.8,rayanait-nouri_ALG
Rayan Raveloson,MF,Central_Midfielder,28,Madagascar,CAF,BSC Young Boys,Swiss_SuperLeague,32.5,rayanraveloson_MAD
Razvan Marin,MF,Defensive_Midfielder,29,Romania,UEFA,AEK Athens,SuperLeague1,56.9,razvanmarin_ROM
Razvan Sava,GK,Goalkeeper,23,Romania,UEFA,Udinese Calcio,Serie_A,40.6,razvansava_ROM
Reece James,DF,Right_Back,25,England,UEFA,Chelsea FC,PremierLeague,487.5,reecejames_ENG
Reed Baker-Whiting,DF,Left_Back,20,United States,CONCACAF,Seattle Sounders FC,MLS,16.2,reedbaker-whiting_UNI
Reis,FW,Striker,32,Brazil,CONMEBOL,Gwangju FC,K_League1,9.8,reis_BRA
Reiss Nelson,FW,Right_Winger,25,England,UEFA,Arsenal FC,PremierLeague,260.0,reissnelson_ENG
Remy Cabella,MF,Attacking_Midfielder,35,France,UEFA,Olympiacos Piraeus,SuperLeague1,40.6,remycabella_FRA
Renan Lodi,DF,Left_Back,27,Brazil,CONMEBOL,Al-Hilal SFC,Saudi_ProLeague,211.2,renanlodi_BRA
Reo Hatate,MF,Central_Midfielder,27,Japan,AFC,Celtic FC,Scottish_Premiership,211.2,reohatate_JAP
Rhyan Grant,DF,Right_Back,34,Australia,AFC,Sydney FC,A_League,6.5,rhyangrant_AUS
Rhys Bozinovski,MF,Defensive_Midfielder,21,Australia,AFC,Western United FC,A_League,5.7,rhysbozinovski_AUS
Ricardo Pepi,FW,Striker,22,United States,CONCACAF,PSV Eindhoven,Eredivisie,260.0,ricardopepi_UNI
Ricardo Pereira,DF,Right_Back,31,Portugal,UEFA,Leicester City,Championship,73.1,ricardopereira_POR
Ricardo Velho,GK,Goalkeeper,26,Portugal,UEFA,SC Farense,Other_leagues,65.0,ricardovelho_POR
Riccardo Calafiori,DF,Left_Back,23,Italy,UEFA,Arsenal FC,PremierLeague,568.8,riccardocalafiori_ITA
Riccieli,DF,Centre_Back,26,Brazil,CONMEBOL,Qingdao West Coast,Chinese_SuperLeague,32.5,riccieli_BRA
Richarlison,FW,Striker,28,Brazil,CONMEBOL,Tottenham Hotspur,PremierLeague,325.0,richarlison_BRA
Richie Laryea,DF,Right_Back,30,Canada,CONCACAF,Toronto FC,MLS,16.2,richielaryea_CAN
Ricky van Wolfswinkel,FW,Striker,36,Netherlands,UEFA,Twente Enschede FC,Eredivisie,6.5,rickyvanwolfswinkel_NET
Rico Henry,DF,Left_Back,28,England,UEFA,Brentford FC,PremierLeague,243.8,ricohenry_ENG
Rico Lewis,DF,Right_Back,20,England,UEFA,Manchester City,PremierLeague,650.0,ricolewis_ENG
Ridle Baku,DF,Right_Back,27,Germany,UEFA,RB Leipzig,Bundesliga,146.2,ridlebaku_GER
Ridvan Yilmaz,DF,Left_Back,24,Turkey,UEFA,Rangers FC,Scottish_Premiership,56.9,ridvanyilmaz_TUR
Rihito Yamamoto,MF,Defensive_Midfielder,23,Japan,AFC,Sint-Truidense VV,Jupiler_ProLeague,14.6,rihitoyamamoto_JAP
Riley McGree,MF,Central_Midfielder,26,Australia,AFC,Middlesbrough FC,Championship,48.8,rileymcgree_AUS
Riqui Puig,MF,Central_Midfielder,25,Spain,UEFA,Los Angeles Galaxy,MLS,325.0,riquipuig_SPA
Robbie Deas,DF,Centre_Back,25,Scotland,UEFA,Kilmarnock FC,Scottish_Premiership,10.6,robbiedeas_SCO
Robert Andrich,MF,Defensive_Midfielder,30,Germany,UEFA,Bayer 04 Leverkusen,Bundesliga,146.2,robertandrich_GER
Robert Beric,FW,Striker,34,Slovenia,UEFA,Changchun Yatai Reserves,Other_leagues,6.1,robertberic_SLO
Robert Lewandowski,FW,Striker,36,Poland,UEFA,FC Barcelona,LaLiga,195.0,robertlewandowski_POL
Robert Ljubicic,MF,Central_Midfielder,26,Croatia,UEFA,AEK Athens,SuperLeague1,65.0,robertljubicic_CRO
Roberto Pereyra,MF,Central_Midfielder,34,Argentina,CONMEBOL,AEK Athens,SuperLeague1,16.2,robertopereyra_ARG
Roberto Piccoli,FW,Striker,24,Italy,UEFA,Cagliari Calcio,Serie_A,195.0,robertopiccoli_ITA
Robert Sanchez,GK,Goalkeeper,27,Spain,UEFA,Chelsea FC,PremierLeague,325.0,robertsanchez_SPA
Robin Gosens,DF,Left_Back,31,Germany,UEFA,ACF Fiorentina,Serie_A,130.0,robingosens_GER
Robin Koch,DF,Centre_Back,29,Germany,UEFA,Eintracht Frankfurt,Bundesliga,292.5,robinkoch_GER
Robin Le Normand,DF,Centre_Back,28,Spain,UEFA,Atlético de Madrid,LaLiga,650.0,robinlenormand_SPA
Robin Olsen,GK,Goalkeeper,35,Sweden,UEFA,Malmö FF,Allsvenskan,16.2,robinolsen_SWE
Robin Ostrom,DF,Right_Back,22,Norway,UEFA,Silkeborg IF,Danish_Superligaen,24.4,robinostrom_NOR
Robin Risser,GK,Goalkeeper,20,France,UEFA,RC Lens,Ligue1,24.4,robinrisser_FRA
Robin Roefs,GK,Goalkeeper,22,Netherlands,UEFA,NEC Nijmegen,Eredivisie,65.0,robinroefs_NET
Robin Zentner,GK,Goalkeeper,30,Germany,UEFA,1.FSV Mainz 05,Bundesliga,65.0,robinzentner_GER
Rocco Reitz,MF,Central_Midfielder,23,Germany,UEFA,Borussia Mönchengladbach,Bundesliga,243.8,roccoreitz_GER
Rocky Bushiri,DF,Centre_Back,25,Congo,CAF,Hibernian FC,Scottish_Premiership,14.6,rockybushiri_CON
Roderick Miranda,DF,Centre_Back,34,Portugal,UEFA,Melbourne Victory,A_League,9.8,roderickmiranda_POR
Rodolfo Pizarro,MF,Attacking_Midfielder,31,Mexico,CONCACAF,FC Juárez,Liga_MX,16.2,rodolfopizarro_MEX
Rodri,MF,Defensive_Midfielder,29,Spain,UEFA,Manchester City,PremierLeague,1787.5,rodri_SPA
Rodrigo Aliendro,MF,Central_Midfielder,34,Argentina,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,8.1,rodrigoaliendro_ARG
Rodrigo Becao,DF,Centre_Back,29,Brazil,CONMEBOL,Fenerbahce,SuperLig,89.4,rodrigobecao_BRA
Rodrigo Bentancur,MF,Defensive_Midfielder,28,Uruguay,CONMEBOL,Tottenham Hotspur,PremierLeague,487.5,rodrigobentancur_URU
Rodrigo De Paul,MF,Central_Midfielder,31,Argentina,CONMEBOL,Inter Miami CF,MLS,406.2,rodrigodepaul_ARG
Rodrigo Echeverria,MF,Defensive_Midfielder,30,Chile,CONMEBOL,Club León FC,Liga_MX,61.8,rodrigoecheverria_CHI
Rodrigo Huescas,DF,Right_Back,21,Mexico,CONCACAF,FC Copenhagen,Danish_Superligaen,97.5,rodrigohuescas_MEX
Rodrigo Mora,MF,Attacking_Midfielder,18,Portugal,UEFA,FC Porto,Liga_Portugal,650.0,rodrigomora_POR
Rodrigo Morinigo,GK,Goalkeeper,26,Paraguay,CONMEBOL,Club Libertad Asunción,Other_leagues,16.2,rodrigomorinigo_PAR
Rodrigo Muniz,FW,Striker,24,Brazil,CONMEBOL,Fulham FC,PremierLeague,325.0,rodrigomuniz_BRA
Rodrigo Rey,GK,Goalkeeper,34,Argentina,CONMEBOL,CA Independiente,Liga_Profesional,24.4,rodrigorey_ARG
Rodrigo Villagra,MF,Defensive_Midfielder,24,Argentina,CONMEBOL,CSKA Moscow,Russian_PremierLiga,65.0,rodrigovillagra_ARG
Rodrigo Zalazar,MF,Central_Midfielder,25,Uruguay,CONMEBOL,SC Braga,Liga_Portugal,292.5,rodrigozalazar_URU
Rodrygo,FW,Right_Winger,24,Brazil,CONMEBOL,Real Madrid,LaLiga,1462.5,rodrygo_BRA
Roger Marti,FW,Striker,34,Spain,UEFA,Cádiz CF,LaLiga_2,9.8,rogermarti_SPA
Roger Martinez,FW,Striker,31,Colombia,CONMEBOL,Al-Taawoun FC,Saudi_ProLeague,24.4,rogermartinez_COL
Rokas Pukstas,MF,Attacking_Midfielder,20,United States,CONCACAF,HNK Hajduk Split,SuperSport_HNL,81.2,rokaspukstas_UNI
Rolando Mandragora,MF,Defensive_Midfielder,28,Italy,UEFA,ACF Fiorentina,Serie_A,195.0,rolandomandragora_ITA
Roman Burki,GK,Goalkeeper,34,Switzerland,UEFA,St. Louis CITY SC,MLS,24.4,romanburki_SWI
Roman Celentano,GK,Goalkeeper,24,United States,CONCACAF,FC Cincinnati,MLS,40.6,romancelentano_UNI
Romano Schmid,MF,Attacking_Midfielder,25,Austria,UEFA,SV Werder Bremen,Bundesliga,276.2,romanoschmid_AUS
Roman Vega,DF,Left_Back,21,Argentina,CONMEBOL,Zenit St. Petersburg,Russian_PremierLiga,81.2,romanvega_ARG
Roman Yaremchuk,FW,Striker,29,Ukraine,UEFA,Olympiacos Piraeus,SuperLeague1,48.8,romanyaremchuk_UKR
Romelu Lukaku,FW,Striker,32,Belgium,UEFA,SSC Napoli,Serie_A,357.5,romelulukaku_BEL
Romeo Amane,MF,Central_Midfielder,22,Cote d'Ivoire,CAF,Rapid Vienna,Austria_Bundesliga,56.9,romeoamane_COT
Romeo Lavia,MF,Defensive_Midfielder,21,Belgium,UEFA,Chelsea FC,PremierLeague,650.0,romeolavia_BEL
Romeo Vermant,FW,Striker,21,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,97.5,romeovermant_BEL
Ron-Robert Zieler,GK,Goalkeeper,36,Germany,UEFA,1.FC Köln,Bundesliga,8.1,ron-robertzieler_GER
Ronald Araujo,DF,Centre_Back,26,Uruguay,CONMEBOL,FC Barcelona,LaLiga,568.8,ronaldaraujo_URU
Roony Bardghji,FW,Right_Winger,19,Sweden,UEFA,FC Barcelona Atlètic,Other_leagues,121.9,roonybardghji_SWE
Ross Graham,DF,Centre_Back,24,Scotland,UEFA,Dundee United FC,Scottish_Premiership,11.4,rossgraham_SCO
Roy Krishna,FW,Striker,37,Fiji,OFC,Without Club,Without_Club,2.0,roykrishna_FIJ
Ruben Alcaraz,MF,Central_Midfielder,34,Spain,UEFA,Cádiz CF,LaLiga_2,8.1,rubenalcaraz_SPA
Ruben Botta,MF,Attacking_Midfielder,35,Argentina,CONMEBOL,CA Talleres,Liga_Profesional,8.1,rubenbotta_ARG
Ruben Dias,DF,Centre_Back,28,Portugal,UEFA,Manchester City,PremierLeague,1056.2,rubendias_POR
Ruben Lezcano,MF,Attacking_Midfielder,21,Paraguay,CONMEBOL,Fluminense Football Club,Brasileiro_SerieA,65.0,rubenlezcano_PAR
Ruben Loftus-Cheek,MF,Central_Midfielder,29,England,UEFA,AC Milan,Serie_A,162.5,rubenloftus-cheek_ENG
Ruben Neves,MF,Defensive_Midfielder,28,Portugal,UEFA,Al-Hilal SFC,Saudi_ProLeague,406.2,rubenneves_POR
Ruben Pena,DF,Right_Back,34,Spain,UEFA,CD Leganés,LaLiga_2,19.5,rubenpena_SPA
Ruben van Bommel,FW,Left_Winger,20,Netherlands,UEFA,PSV Eindhoven,Eredivisie,130.0,rubenvanbommel_NET
Ruben Vezo,DF,Centre_Back,31,Portugal,UEFA,Olympiacos Piraeus,SuperLeague1,22.8,rubenvezo_POR
Ruben Yanez,GK,Goalkeeper,31,Spain,UEFA,Sporting Gijón,LaLiga_2,19.5,rubenyanez_SPA
Rui Silva,GK,Goalkeeper,31,Portugal,UEFA,Sporting CP,Liga_Portugal,113.8,ruisilva_POR
Ruslan Neshcheret,GK,Goalkeeper,23,Ukraine,UEFA,Dynamo Kyiv,Ukrainian_PremierLeague,65.0,ruslanneshcheret_UKR
Ryan Astley,DF,Centre_Back,23,Wales,UEFA,Dundee FC,Scottish_Premiership,9.8,ryanastley_WAL
Ryan Christie,MF,Defensive_Midfielder,30,Scotland,UEFA,AFC Bournemouth,PremierLeague,162.5,ryanchristie_SCO
Ryan Flamingo,DF,Centre_Back,22,Netherlands,UEFA,PSV Eindhoven,Eredivisie,325.0,ryanflamingo_NET
Ryan Giles,DF,Left_Back,25,England,UEFA,Hull City,Championship,73.1,ryangiles_ENG
Ryan Gravenberch,MF,Defensive_Midfielder,23,Netherlands,UEFA,Liverpool FC,PremierLeague,1218.8,ryangravenberch_NET
Ryan Hollingshead,DF,Left_Back,34,United States,CONCACAF,Los Angeles FC,MLS,13.0,ryanhollingshead_UNI
Ryan Kitto,DF,Left_Back,30,Australia,AFC,Adelaide United,A_League,6.5,ryankitto_AUS
Ryan Raposo,MF,Side_Midfielder,26,Canada,CONCACAF,Los Angeles FC,MLS,16.2,ryanraposo_CAN
Ryan Sessegnon,DF,Left_Back,25,England,UEFA,Fulham FC,PremierLeague,243.8,ryansessegnon_ENG
Ryan Thomas,MF,Central_Midfielder,30,New Zealand,OFC,PEC Zwolle,Eredivisie,11.4,ryanthomas_NEW
Ryan Yates,MF,Central_Midfielder,27,England,UEFA,Nottingham Forest,PremierLeague,195.0,ryanyates_ENG
Ryotaro Ito,MF,Central_Midfielder,27,Japan,AFC,Sint-Truidense VV,Jupiler_ProLeague,40.6,ryotaroito_JAP
Ryoya Morishita,MF,Attacking_Midfielder,28,Japan,AFC,Legia Warszawa,Ekstraklasa,48.8,ryoyamorishita_JAP
Ryoya Ogawa,DF,Left_Back,28,Japan,AFC,Kashima Antlers,J1_League,24.4,ryoyaogawa_JAP
Saba Lobjanidze,FW,Left_Winger,30,Georgia,UEFA,Atlanta United FC,MLS,65.0,sabalobjanidze_GEO
Sacha Boey,DF,Right_Back,24,France,UEFA,Bayern Munich,Bundesliga,292.5,sachaboey_FRA
Sadibou Sane,DF,Centre_Back,21,Senegal,CAF,FC Metz,Ligue1,81.2,sadibousane_SEN
Sael Kumbedi,DF,Right_Back,20,France,UEFA,Olympique Lyon,Ligue1,113.8,saelkumbedi_FRA
Said Benrahma,FW,Left_Winger,29,Algeria,CAF,NEOM SC,Saudi_ProLeague,162.5,saidbenrahma_ALG
Saidou Sow,DF,Centre_Back,23,Guinea,CAF,RC Strasbourg Alsace,Ligue1,97.5,saidousow_GUI
Salim Diakite,DF,Right_Back,25,Mali,CAF,Palermo FC,Serie_B,35.8,salimdiakite_MAL
Salis Abdul Samed,MF,Defensive_Midfielder,25,Ghana,CAF,RC Lens,Ligue1,89.4,salisabdulsamed_GHA
Salvatore Esposito,MF,Defensive_Midfielder,24,Italy,UEFA,Spezia Calcio,Serie_B,162.5,salvatoreesposito_ITA
Sam Adekugbe,DF,Left_Back,30,Canada,CONCACAF,Vancouver Whitecaps FC,MLS,16.2,samadekugbe_CAN
Sam Beukema,DF,Centre_Back,26,Netherlands,UEFA,SSC Napoli,Serie_A,455.0,sambeukema_NET
Sambou Soumano,FW,Striker,24,Senegal,CAF,FC Lorient,Ligue1,40.6,sambousoumano_SEN
Sam Johnstone,GK,Goalkeeper,32,England,UEFA,Wolverhampton Wanderers,PremierLeague,97.5,samjohnstone_ENG
Sam Lammers,FW,Striker,28,Netherlands,UEFA,Twente Enschede FC,Eredivisie,65.0,samlammers_NET
Sammie Szmodics,MF,Attacking_Midfielder,29,Ireland,UEFA,Ipswich Town,Championship,162.5,sammieszmodics_IRE
Sampson Dweh,DF,Centre_Back,23,Liberia,CAF,FC Viktoria Plzen,Chance_Liga,105.6,sampsondweh_LIB
Samson Baidoo,DF,Centre_Back,21,Austria,UEFA,RC Lens,Ligue1,130.0,samsonbaidoo_AUS
Sam Surridge,FW,Striker,26,England,UEFA,Nashville SC,MLS,81.2,samsurridge_ENG
Sam Sutton,DF,Left_Back,23,New Zealand,OFC,Perth Glory,A_League,5.7,samsutton_NEW
Sam Tickle,GK,Goalkeeper,23,England,UEFA,Wigan Athletic,League_One,19.5,samtickle_ENG
Samu Costa,MF,Defensive_Midfielder,24,Portugal,UEFA,RCD Mallorca,LaLiga,243.8,samucosta_POR
Samuel Adeniran,FW,Striker,26,United States,CONCACAF,LASK,Austria_Bundesliga,14.6,samueladeniran_UNI
Samuel Amo-Ameyaw,FW,Right_Winger,19,England,UEFA,RC Strasbourg Alsace,Ligue1,65.0,samuelamo-ameyaw_ENG
Samuel Chukwueze,FW,Right_Winger,26,Nigeria,CAF,AC Milan,Serie_A,162.5,samuelchukwueze_NIG
Samuel Dahl,DF,Left_Back,22,Sweden,UEFA,SL Benfica,Liga_Portugal,113.8,samueldahl_SWE
Samuel Edozie,FW,Left_Winger,22,England,UEFA,Southampton FC,Championship,97.5,samueledozie_ENG
Samuele Ricci,MF,Defensive_Midfielder,23,Italy,UEFA,AC Milan,Serie_A,487.5,samuelericci_ITA
Samuel Piette,MF,Defensive_Midfielder,30,Canada,CONCACAF,CF Montréal,MLS,19.5,samuelpiette_CAN
Samuel Portugal,GK,Goalkeeper,31,Brazil,CONMEBOL,Al-Okhdood Club,Saudi_ProLeague,16.2,samuelportugal_BRA
Samuel Soares,GK,Goalkeeper,23,Portugal,UEFA,SL Benfica,Liga_Portugal,65.0,samuelsoares_POR
Sam Vines,DF,Left_Back,26,United States,CONCACAF,Colorado Rapids,MLS,19.5,samvines_UNI
Sander Berge,MF,Defensive_Midfielder,27,Norway,UEFA,Fulham FC,PremierLeague,406.2,sanderberge_NOR
Sander Tangvik,GK,Goalkeeper,22,Norway,UEFA,Rosenborg BK,Eliteserien,56.9,sandertangvik_NOR
Sandi Lovric,MF,Central_Midfielder,27,Slovenia,UEFA,Udinese Calcio,Serie_A,138.1,sandilovric_SLO
Sandro Tonali,MF,Central_Midfielder,25,Italy,UEFA,Newcastle United,PremierLeague,975.0,sandrotonali_ITA
Sandy Walsh,DF,Right_Back,30,Indonesia,AFC,Yokohama F. Marinos,J1_League,13.0,sandywalsh_IND
Santiago Ascacibar,MF,Defensive_Midfielder,28,Argentina,CONMEBOL,Club Estudiantes de La Plata,Liga_Profesional,113.8,santiagoascacibar_ARG
Santiago Bueno,DF,Centre_Back,26,Uruguay,CONMEBOL,Wolverhampton Wanderers,PremierLeague,162.5,santiagobueno_URU
Santiago Castaneda,MF,Defensive_Midfielder,20,United States,CONCACAF,SC Paderborn 07,Bundesliga_2,65.0,santiagocastaneda_UNI
Santiago Castro,FW,Striker,20,Argentina,CONMEBOL,Bologna FC 1909,Serie_A,568.8,santiagocastro_ARG
Santiago Gimenez,FW,Striker,24,Mexico,CONCACAF,AC Milan,Serie_A,487.5,santiagogimenez_MEX
Santiago Hezze,MF,Defensive_Midfielder,23,Argentina,CONMEBOL,Olympiacos Piraeus,SuperLeague1,195.0,santiagohezze_ARG
Santiago Mele,GK,Goalkeeper,27,Uruguay,CONMEBOL,CF Monterrey,Liga_MX,40.6,santiagomele_URU
Santiago Pierotti,FW,Right_Winger,24,Argentina,CONMEBOL,US Lecce,Serie_A,65.0,santiagopierotti_ARG
Santiago Ramos Mingo,DF,Centre_Back,23,Argentina,CONMEBOL,Esporte Clube Bahia,Brasileiro_SerieA,97.5,santiagoramosmingo_ARG
Santiago Rodriguez,MF,Attacking_Midfielder,25,Uruguay,CONMEBOL,Botafogo de Futebol e Regatas,Brasileiro_SerieA,73.1,santiagorodriguez_URU
Santiago Simon,MF,Side_Midfielder,23,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,73.1,santiagosimon_ARG
Santiago Sosa,DF,Centre_Back,26,Argentina,CONMEBOL,Racing Club,Liga_Profesional,130.0,santiagososa_ARG
Santi Comesana,MF,Central_Midfielder,28,Spain,UEFA,Villarreal CF,LaLiga,130.0,santicomesana_SPA
Sasa Lukic,MF,Defensive_Midfielder,28,Serbia,UEFA,Fulham FC,PremierLeague,227.5,sasalukic_SER
Sascha Horvath,MF,Central_Midfielder,28,Austria,UEFA,LASK,Austria_Bundesliga,24.4,saschahorvath_AUS
Saud Abdulhamid,DF,Right_Back,26,Saudi Arabia,AFC,AS Roma,Serie_A,48.8,saudabdulhamid_SAU
Saul Coco,DF,Centre_Back,26,Equatorial Guinea,CAF,Torino FC,Serie_A,162.5,saulcoco_EQU
Savinho,FW,Right_Winger,21,Brazil,CONMEBOL,Manchester City,PremierLeague,812.5,savinho_BRA
Scott McTominay,MF,Central_Midfielder,28,Scotland,UEFA,SSC Napoli,Serie_A,812.5,scottmctominay_SCO
Scott Twine,MF,Attacking_Midfielder,26,England,UEFA,Bristol City,Championship,73.1,scotttwine_ENG
Seamus Coleman,DF,Right_Back,36,Ireland,UEFA,Everton FC,PremierLeague,8.1,seamuscoleman_IRE
Sean Johnson,GK,Goalkeeper,36,United States,CONCACAF,Toronto FC,MLS,6.5,seanjohnson_UNI
Sean Klaiber,DF,Centre_Back,30,Suriname,CONCACAF,Bröndby IF,Danish_Superligaen,27.6,seanklaiber_SUR
Sean Longstaff,MF,Central_Midfielder,27,England,UEFA,Leeds United,PremierLeague,325.0,seanlongstaff_ENG
Sean Nealis,DF,Centre_Back,28,United States,CONCACAF,New York Red Bulls,MLS,40.6,seannealis_UNI
Sebastian Berhalter,MF,Central_Midfielder,24,United States,CONCACAF,Vancouver Whitecaps FC,MLS,32.5,sebastianberhalter_UNI
Sebastian Boselli,DF,Centre_Back,21,Uruguay,CONMEBOL,CA River Plate,Liga_Profesional,61.8,sebastianboselli_URU
Sebastian Nanasi,MF,Side_Midfielder,23,Sweden,UEFA,RC Strasbourg Alsace,Ligue1,292.5,sebastiannanasi_SWE
Sebastiano Desplanches,GK,Goalkeeper,22,Italy,UEFA,Palermo FC,Serie_B,32.5,sebastianodesplanches_ITA
Sebastiano Esposito,FW,Striker,23,Italy,UEFA,Inter Milan,Serie_A,138.1,sebastianoesposito_ITA
Sebastian Szymanski,MF,Attacking_Midfielder,26,Poland,UEFA,Fenerbahce,SuperLig,243.8,sebastianszymanski_POL
Sebastian Villa,FW,Left_Winger,29,Colombia,CONMEBOL,CS Independiente Rivadavia,Liga_Profesional,81.2,sebastianvilla_COL
Sebastien Haller,FW,Striker,31,Cote d'Ivoire,CAF,Borussia Dortmund,Bundesliga,48.8,sebastienhaller_COT
Seedy Jatta,FW,Striker,22,Norway,UEFA,SK Sturm Graz,Austria_Bundesliga,32.5,seedyjatta_NOR
Sefer Emini,MF,Central_Midfielder,25,North Macedonia,UEFA,Sönderjyske Fodbold,Danish_Superligaen,16.2,seferemini_NOR
Seiya Maikuma,DF,Right_Back,27,Japan,AFC,AZ Alkmaar,Eredivisie,65.0,seiyamaikuma_JAP
Seko Fofana,MF,Central_Midfielder,30,Cote d'Ivoire,CAF,Stade Rennais FC,Ligue1,162.5,sekofofana_COT
