name,position,age,nation,club,value,league
Francisco Trincao,Right Winger,25,Portugal,Sporting CP,€35.00m,Liga Portugal
Tomas Araujo,Centre-Back,23,Portugal,SL Benfica,€32.00m,Liga Portugal
Antonio Silva,Centre-Back,21,Portugal,SL Benfica,€32.00m,Liga Portugal
Alan Varela,Defensive Midfield,24,Argentina,FC Porto,€32.00m,Liga Portugal
Pedro Goncalves,Left Winger,27,Portugal,Sporting CP,€30.00m,Liga Portugal
Zeno Debast,Centre-Back,21,Belgium,Sporting CP,€30.00m,Liga Portugal
Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,€28.00m,Liga Portugal
Kerem Akturkoglu,Left Winger,26,Türkiye,SL Benfica,€24.00m,Liga Portugal
Conrad Harder,Centre-Forward,20,Denmark,Sporting CP,€24.00m,Liga Portugal
Florentino,Defensive Midfield,25,Portugal,SL Benfica,€22.00m,Liga Portugal
Roger,Right Winger,19,Portugal,SC Braga,€22.00m,Liga Portugal
Pepe,Right Winger,28,Brazil,FC Porto,€22.00m,Liga Portugal
Fredrik Aursnes,Central Midfield,29,Norway,SL Benfica,€20.00m,Liga Portugal
Rodrigo Zalazar,Central Midfield,25,Uruguay,SC Braga,€18.00m,Liga Portugal
Gabri Veiga,Attacking Midfield,23,Spain,FC Porto,€18.00m,Liga Portugal
Eduardo Quaresma,Centre-Back,23,Portugal,Sporting CP,€18.00m,Liga Portugal
Maxi Araujo,Left Midfield,25,Uruguay,Sporting CP,€17.00m,Liga Portugal
Richard Rios,Defensive Midfield,25,Colombia,SL Benfica,€16.00m,Liga Portugal
Gustavo Sa,Attacking Midfield,20,Portugal,FC Famalicão,€16.00m,Liga Portugal
Leandro Barreiro,Central Midfield,25,Luxembourg,SL Benfica,€15.00m,Liga Portugal
Andreas Schjelderup,Left Winger,21,Norway,SL Benfica,€15.00m,Liga Portugal
Geny Catamo,Right Winger,24,Mozambique,Sporting CP,€15.00m,Liga Portugal
Francisco Moura,Left-Back,25,Portugal,FC Porto,€15.00m,Liga Portugal
Simon Banza,Centre-Forward,28,DR Congo,SC Braga,€14.00m,Liga Portugal
Borja Sainz,Left Winger,24,Spain,FC Porto,€14.00m,Liga Portugal
Tomas Handel,Defensive Midfield,24,Portugal,Vitória Guimarães SC,€13.00m,Liga Portugal
Hidemasa Morita,Central Midfield,30,Japan,Sporting CP,€13.00m,Liga Portugal
Nehuen Perez,Centre-Back,25,Argentina,FC Porto,€13.00m,Liga Portugal
Ricardo Horta,Right Winger,30,Portugal,SC Braga,€12.00m,Liga Portugal
Amar Dedic,Right-Back,22,Bosnia-Herzegovina,SL Benfica,€12.00m,Liga Portugal
Martim Fernandes,Right-Back,19,Portugal,FC Porto,€12.00m,Liga Portugal
Victor Froholdt,Central Midfield,19,Denmark,FC Porto,€12.00m,Liga Portugal
Daniel Braganca,Central Midfield,26,Portugal,Sporting CP,€12.00m,Liga Portugal
Alexander Bah,Right-Back,27,Denmark,SL Benfica,€10.00m,Liga Portugal
Enzo Barrenechea,Defensive Midfield,24,Argentina,SL Benfica,€10.00m,Liga Portugal
Manu Silva,Defensive Midfield,24,Portugal,SL Benfica,€10.00m,Liga Portugal
Joao Mario,Right-Back,25,Portugal,FC Porto,€10.00m,Liga Portugal
Stephen Eustaquio,Central Midfield,28,Canada,FC Porto,€10.00m,Liga Portugal
William Gomes,Left Winger,19,Brazil,FC Porto,€9.00m,Liga Portugal
Nuno Santos,Left-Back,30,Portugal,Sporting CP,€9.00m,Liga Portugal
Sikou Niakate,Centre-Back,26,Mali,SC Braga,€8.00m,Liga Portugal
Gabriel Moscardo,Defensive Midfield,19,Brazil,SC Braga,€8.00m,Liga Portugal
Gianluca Prestianni,Right Winger,19,Argentina,SL Benfica,€8.00m,Liga Portugal
Ivan Fresneda,Right-Back,20,Spain,Sporting CP,€8.00m,Liga Portugal
Ismael Gharbi,Left Winger,21,Spain,SC Braga,€7.50m,Liga Portugal
Bruma,Left Winger,30,Portugal,SL Benfica,€7.00m,Liga Portugal
Samuel Dahl,Left-Back,22,Sweden,SL Benfica,€7.00m,Liga Portugal
Rui Silva,Goalkeeper,31,Portugal,Sporting CP,€7.00m,Liga Portugal
Bright Arrey-Mbi,Centre-Back,22,Germany,SC Braga,€6.00m,Liga Portugal
Vitor Carvalho,Defensive Midfield,28,Brazil,SC Braga,€6.00m,Liga Portugal
Victor Gomez,Right-Back,25,Spain,SC Braga,€6.00m,Liga Portugal
Joao Simoes,Central Midfield,18,Portugal,Sporting CP,€6.00m,Liga Portugal
Lukas Hornicek,Goalkeeper,23,Czech Republic,SC Braga,€6.00m,Liga Portugal
Casper Tengstedt,Centre-Forward,25,Denmark,SL Benfica,€6.00m,Liga Portugal
Jeremiah St. Juste,Centre-Back,28,Netherlands,Sporting CP,€6.00m,Liga Portugal
Matheus Reis,Left-Back,30,Brazil,Sporting CP,€6.00m,Liga Portugal
Fran Navarro,Centre-Forward,27,Spain,SC Braga,€6.00m,Liga Portugal
Toni Borevkovic,Centre-Back,28,Croatia,Vitória Guimarães SC,€5.00m,Liga Portugal
Mirko Topic,Defensive Midfield,24,Serbia,FC Famalicão,€5.00m,Liga Portugal
Sorriso,Right Winger,24,Brazil,FC Famalicão,€5.00m,Liga Portugal
Chissumba,Left-Back,20,Portugal,SC Braga,€5.00m,Liga Portugal
Gabriel Silva,Right Winger,23,Brazil,CD Santa Clara,€5.00m,Liga Portugal
MT,Left-Back,24,Brazil,CD Santa Clara,€5.00m,Liga Portugal
Giorgi Kochorashvili,Defensive Midfield,26,Georgia,Sporting CP,€5.00m,Liga Portugal
Clayton,Centre-Forward,26,Brazil,Rio Ave FC,€5.00m,Liga Portugal
Ivan Jaime,Attacking Midfield,24,Spain,FC Porto,€5.00m,Liga Portugal
Biel,Left Winger,24,Brazil,Sporting CP,€5.00m,Liga Portugal
Franco Israel,Goalkeeper,25,Uruguay,Sporting CP,€5.00m,Liga Portugal
Andreas Ntoi,Centre-Back,22,Greece,Rio Ave FC,€4.50m,Liga Portugal
Patrick Sequeira,Goalkeeper,26,Costa Rica,Casa Pia AC,€4.00m,Liga Portugal
Mario Dorgeles,Central Midfield,20,Cote d'Ivoire,SC Braga,€4.00m,Liga Portugal
Marko Grujic,Defensive Midfield,29,Serbia,FC Porto,€4.00m,Liga Portugal
Oscar Aranda,Left Winger,23,Spain,FC Famalicão,€4.00m,Liga Portugal
Gabri Martinez,Left Winger,22,Spain,SC Braga,€4.00m,Liga Portugal
Danny Namaso,Centre-Forward,24,Cameroon,FC Porto,€4.00m,Liga Portugal
Ze Pedro,Centre-Back,28,Portugal,FC Porto,€4.00m,Liga Portugal
Leonardo Lelo,Left-Back,25,Portugal,SC Braga,€4.00m,Liga Portugal
Gorby,Central Midfield,22,France,SC Braga,€4.00m,Liga Portugal
Rafik Guitane,Right Winger,26,Algeria,GD Estoril Praia,€4.00m,Liga Portugal
Gabriel Batista,Goalkeeper,27,Brazil,CD Santa Clara,€4.00m,Liga Portugal
Vasco Sousa,Central Midfield,22,Portugal,FC Porto,€4.00m,Liga Portugal
Tiago Gouveia,Right Winger,24,Portugal,SL Benfica,€4.00m,Liga Portugal
Samuel Soares,Goalkeeper,23,Portugal,SL Benfica,€4.00m,Liga Portugal
Kevin Boma,Centre-Back,22,Togo,GD Estoril Praia,€4.00m,Liga Portugal
Deniz Gul,Centre-Forward,21,Türkiye,FC Porto,€4.00m,Liga Portugal
Andrew,Goalkeeper,24,Brazil,Gil Vicente FC,€4.00m,Liga Portugal
Alan,Attacking Midfield,25,Brazil,Moreirense FC,€4.00m,Liga Portugal
Thiago Helguera,Defensive Midfield,19,Uruguay,SC Braga,€3.50m,Liga Portugal
Jordan Holsgrove,Defensive Midfield,25,Scotland,GD Estoril Praia,€3.50m,Liga Portugal
Amine El Ouazzani,Centre-Forward,24,Morocco,SC Braga,€3.50m,Liga Portugal
Yanis Begraoui,Centre-Forward,24,Morocco,GD Estoril Praia,€3.50m,Liga Portugal
Luiz Henrique,Right Winger,24,Brazil,Zenit St. Petersburg,€25.00m,Russian PremierLiga
Gerson,Central Midfield,28,Brazil,Zenit St. Petersburg,€25.00m,Russian PremierLiga
Eduard Spertsyan,Attacking Midfield,25,Armenia,FC Krasnodar,€25.00m,Russian PremierLiga
Wendel,Central Midfield,27,Brazil,Zenit St. Petersburg,€18.00m,Russian PremierLiga
Konstantin Tyukavin,Centre-Forward,23,Russia,Dynamo Moscow,€16.00m,Russian PremierLiga
Manfred Ugalde,Centre-Forward,23,Costa Rica,Spartak Moscow,€15.00m,Russian PremierLiga
Maksim Glushenkov,Second Striker,25,Russia,Zenit St. Petersburg,€14.00m,Russian PremierLiga
Esequiel Barco,Attacking Midfield,26,Argentina,Spartak Moscow,€14.00m,Russian PremierLiga
Jhon Cordoba,Centre-Forward,32,Colombia,FC Krasnodar,€12.00m,Russian PremierLiga
Luciano Gondou,Centre-Forward,24,Argentina,Zenit St. Petersburg,€12.00m,Russian PremierLiga
Aleksey Batrakov,Attacking Midfield,20,Russia,Lokomotiv Moscow,€12.00m,Russian PremierLiga
Bitello,Attacking Midfield,25,Brazil,Dynamo Moscow,€12.00m,Russian PremierLiga
Levi Garcia,Centre-Forward,27,Trinidad and Tobago,Spartak Moscow,€12.00m,Russian PremierLiga
Nino,Centre-Back,28,Brazil,Zenit St. Petersburg,€11.00m,Russian PremierLiga
Pedro,Left Winger,19,Brazil,Zenit St. Petersburg,€10.00m,Russian PremierLiga
Mateo Cassierra,Centre-Forward,28,Colombia,Zenit St. Petersburg,€10.00m,Russian PremierLiga
Strahinja Erakovic,Centre-Back,24,Serbia,Zenit St. Petersburg,€9.00m,Russian PremierLiga
Douglas Santos,Left-Back,31,Brazil,Zenit St. Petersburg,€9.00m,Russian PremierLiga
Ivan Oblyakov,Attacking Midfield,27,Russia,CSKA Moscow,€9.00m,Russian PremierLiga
Matvey Kislyak,Central Midfield,19,Russia,CSKA Moscow,€8.00m,Russian PremierLiga
Diego Costa,Centre-Back,26,Brazil,FC Krasnodar,€8.00m,Russian PremierLiga
Gaetan Perrin,Right Winger,29,France,FC Krasnodar,€8.00m,Russian PremierLiga
Abbosbek Fayzullaev,Attacking Midfield,21,Uzbekistan,CSKA Moscow,€8.00m,Russian PremierLiga
Wilmar Barrios,Defensive Midfield,31,Colombia,Zenit St. Petersburg,€8.00m,Russian PremierLiga
Sergey Pinyaev,Left Winger,20,Russia,Lokomotiv Moscow,€8.00m,Russian PremierLiga
Dmitriy Barinov,Defensive Midfield,28,Russia,Lokomotiv Moscow,€8.00m,Russian PremierLiga
Mirlind Daku,Centre-Forward,27,Albania,Rubin Kazan,€8.00m,Russian PremierLiga
Aleksandr Chernikov,Defensive Midfield,25,Russia,FC Krasnodar,€8.00m,Russian PremierLiga
Igor Diveev,Centre-Back,25,Russia,CSKA Moscow,€8.00m,Russian PremierLiga
Luis Chavez,Defensive Midfield,29,Mexico,Dynamo Moscow,€8.00m,Russian PremierLiga
Daniil Fomin,Defensive Midfield,28,Russia,Dynamo Moscow,€8.00m,Russian PremierLiga
Danil Glebov,Defensive Midfield,25,Russia,Dynamo Moscow,€8.00m,Russian PremierLiga
Stanislav Agkatsev,Goalkeeper,23,Russia,FC Krasnodar,€7.50m,Russian PremierLiga
Robert Renan,Centre-Back,21,Brazil,Zenit St. Petersburg,€7.50m,Russian PremierLiga
Pablo Solari,Right Winger,24,Argentina,Spartak Moscow,€7.00m,Russian PremierLiga
Jorge Carrascal,Attacking Midfield,27,Colombia,Dynamo Moscow,€7.00m,Russian PremierLiga
Vitor Tormena,Centre-Back,29,Brazil,FC Krasnodar,€7.00m,Russian PremierLiga
Srdjan Babic,Centre-Back,29,Serbia,Spartak Moscow,€6.00m,Russian PremierLiga
Christopher Martins,Defensive Midfield,28,Luxembourg,Spartak Moscow,€6.00m,Russian PremierLiga
Theo Bongonda,Right Winger,29,DR Congo,Spartak Moscow,€6.00m,Russian PremierLiga
Marquinhos,Left Winger,25,Brazil,Spartak Moscow,€6.00m,Russian PremierLiga
Willyan Rocha,Centre-Back,30,Brazil,CSKA Moscow,€6.00m,Russian PremierLiga
Aleksandr Silyanov,Right-Back,24,Russia,Lokomotiv Moscow,€6.00m,Russian PremierLiga
Douglas Augusto,Central Midfield,28,Brazil,FC Krasnodar,€6.00m,Russian PremierLiga
Aleksandr Sobolev,Centre-Forward,28,Russia,Zenit St. Petersburg,€6.00m,Russian PremierLiga
Ruslan Litvinov,Centre-Back,23,Russia,Spartak Moscow,€5.00m,Russian PremierLiga
Kevin Lenini,Defensive Midfield,28,Cape Verde,FC Krasnodar,€5.00m,Russian PremierLiga
Gerzino Nyamsi,Centre-Back,28,France,Lokomotiv Moscow,€5.00m,Russian PremierLiga
Maksim Osipenko,Centre-Back,31,Russia,Dynamo Moscow,€5.00m,Russian PremierLiga
Moises,Left-Back,30,Brazil,CSKA Moscow,€5.00m,Russian PremierLiga
Roman Vega,Left-Back,21,Argentina,Zenit St. Petersburg,€5.00m,Russian PremierLiga
Artem Karpukas,Defensive Midfield,23,Russia,Lokomotiv Moscow,€5.00m,Russian PremierLiga
Joao Batxi,Left Winger,27,Angola,FC Krasnodar,€5.00m,Russian PremierLiga
Khellven,Right-Back,24,Brazil,CSKA Moscow,€5.00m,Russian PremierLiga
Aleksandr Maksimenko,Goalkeeper,27,Russia,Spartak Moscow,€4.50m,Russian PremierLiga
Cesar Montes,Centre-Back,28,Mexico,Lokomotiv Moscow,€4.50m,Russian PremierLiga
Ronaldo,Right Winger,24,Brazil,FC Rostov,€4.00m,Russian PremierLiga
Danil Prutsev,Central Midfield,25,Russia,Spartak Moscow,€4.00m,Russian PremierLiga
Nail Umyarov,Defensive Midfield,25,Russia,Spartak Moscow,€4.00m,Russian PremierLiga
Oleg Reabciuk,Left-Back,27,Moldova,Spartak Moscow,€4.00m,Russian PremierLiga
Lucas Olaza,Left-Back,31,Uruguay,FC Krasnodar,€4.00m,Russian PremierLiga
Daniil Denisov,Right-Back,22,Russia,Spartak Moscow,€4.00m,Russian PremierLiga
Nicolas Moumi Ngamaleu,Left Winger,31,Cameroon,Dynamo Moscow,€4.00m,Russian PremierLiga
Nikita Krivtsov,Attacking Midfield,22,Russia,FC Krasnodar,€4.00m,Russian PremierLiga
Aleksandr Soldatenkov,Centre-Back,28,Russia,Krylya Sovetov Samara,€4.00m,Russian PremierLiga
Rodrigo Villagra,Defensive Midfield,24,Argentina,CSKA Moscow,€4.00m,Russian PremierLiga
Milan Gajic,Right-Back,29,Serbia,CSKA Moscow,€4.00m,Russian PremierLiga
Yaroslav Gladyshev,Right Winger,22,Russia,Dynamo Moscow,€4.00m,Russian PremierLiga
Evgeniy Latyshonok,Goalkeeper,27,Russia,Zenit St. Petersburg,€4.00m,Russian PremierLiga
Andrey Mostovoy,Left Winger,27,Russia,Zenit St. Petersburg,€4.00m,Russian PremierLiga
Vanja Drkusic,Centre-Back,25,Slovenia,Zenit St. Petersburg,€4.00m,Russian PremierLiga
Nicolas Marichal,Centre-Back,24,Uruguay,Dynamo Moscow,€3.50m,Russian PremierLiga
Daniil Khlusevich,Right-Back,24,Russia,Spartak Moscow,€3.50m,Russian PremierLiga
Juan Jose Caceres,Right-Back,25,Paraguay,Dynamo Moscow,€3.50m,Russian PremierLiga
Lechi Sadulaev,Left Winger,25,Russia,Akhmat Grozny,€3.50m,Russian PremierLiga
Matheus Alves,Attacking Midfield,20,Brazil,CSKA Moscow,€3.50m,Russian PremierLiga
Sekou Koita,Centre-Forward,25,Mali,CSKA Moscow,€3.50m,Russian PremierLiga
Nikolay Komlichenko,Centre-Forward,30,Russia,Lokomotiv Moscow,€3.50m,Russian PremierLiga
Alerrandro,Centre-Forward,25,Brazil,CSKA Moscow,€3.50m,Russian PremierLiga
Ilya Samoshnikov,Left-Back,27,Russia,Lokomotiv Moscow,€3.50m,Russian PremierLiga
Gustavo Mantuan,Right Winger,24,Brazil,Zenit St. Petersburg,€3.50m,Russian PremierLiga
Tamerlan Musaev,Centre-Forward,23,Russia,CSKA Moscow,€3.50m,Russian PremierLiga
Vyacheslav Karavaev,Right-Back,30,Russia,Zenit St. Petersburg,€3.50m,Russian PremierLiga
Sasa Zdjelar,Defensive Midfield,30,Serbia,Zenit St. Petersburg,€3.50m,Russian PremierLiga
Arthur Gomes,Left Winger,27,Brazil,Dynamo Moscow,€3.50m,Russian PremierLiga
Roberto Fernandez,Centre-Back,25,Paraguay,Dynamo Moscow,€3.50m,Russian PremierLiga
Viktor Melekhin,Centre-Back,21,Russia,FC Rostov,€3.00m,Russian PremierLiga
Sergey Volkov,Right-Back,22,Russia,FC Sochi,€3.00m,Russian PremierLiga
Victor Sa,Left Winger,31,Brazil,FC Krasnodar,€3.00m,Russian PremierLiga
Andrey Langovich,Right-Back,22,Russia,FC Rostov,€3.00m,Russian PremierLiga
Oumar Sako,Centre-Back,29,Niger,FC Rostov,€3.00m,Russian PremierLiga
Mohammad Mohebi,Left Winger,26,Iran,FC Rostov,€3.00m,Russian PremierLiga
Ilya Vakhania,Right-Back,24,Russia,FC Rostov,€3.00m,Russian PremierLiga
Ivan Sergeev,Centre-Forward,30,Russia,Dynamo Moscow,€3.00m,Russian PremierLiga
Nuraly Alip,Centre-Back,25,Kazakhstan,Zenit St. Petersburg,€3.00m,Russian PremierLiga
Alexis Duarte,Centre-Back,25,Paraguay,Spartak Moscow,€3.00m,Russian PremierLiga
Lucas Fasson,Centre-Back,24,Brazil,Lokomotiv Moscow,€3.00m,Russian PremierLiga
Igor Vujacic,Centre-Back,30,Montenegro,Rubin Kazan,€3.00m,Russian PremierLiga
Evgeniy Morozov,Centre-Back,24,Russia,Lokomotiv Moscow,€3.00m,Russian PremierLiga
Dmitriy Vorobyov,Centre-Forward,27,Russia,Lokomotiv Moscow,€3.00m,Russian PremierLiga
Danilo,Defensive Midfield,24,Brazil,Botafogo de Futebol e Regatas,€28.00m,Brasileiro Série A
Pedro,Centre-Forward,28,Brazil,CR Flamengo,€22.00m,Brasileiro Série A
Yuri Alberto,Centre-Forward,24,Brazil,Sport Club Corinthians Paulista,€22.00m,Brasileiro Série A
Wesley,Right-Back,21,Brazil,CR Flamengo,€20.00m,Brasileiro Série A
Vitor Roque,Centre-Forward,20,Brazil,Sociedade Esportiva Palmeiras,€20.00m,Brasileiro Série A
Nicolas de la Cruz,Central Midfield,28,Uruguay,CR Flamengo,€18.00m,Brasileiro Série A
Paulinho,Left Winger,25,Brazil,Sociedade Esportiva Palmeiras,€16.00m,Brasileiro Série A
Giorgian de Arrascaeta,Attacking Midfield,31,Uruguay,CR Flamengo,€15.00m,Brasileiro Série A
Raphael Veiga,Attacking Midfield,30,Brazil,Sociedade Esportiva Palmeiras,€15.00m,Brasileiro Série A
Rayan,Right Winger,18,Brazil,Clube de Regatas Vasco da Gama,€14.00m,Brasileiro Série A
Facundo Torres,Left Winger,25,Uruguay,Sociedade Esportiva Palmeiras,€14.00m,Brasileiro Série A
Rodrigo Garro,Attacking Midfield,27,Argentina,Sport Club Corinthians Paulista,€14.00m,Brasileiro Série A
Joaquin Piquerez,Left-Back,26,Uruguay,Sociedade Esportiva Palmeiras,€14.00m,Brasileiro Série A
Leo Ortiz,Centre-Back,29,Brazil,CR Flamengo,€13.00m,Brasileiro Série A
Ramon Sosa,Left Winger,25,Paraguay,Sociedade Esportiva Palmeiras,€12.00m,Brasileiro Série A
Neymar,Attacking Midfield,33,Brazil,Santos FC,€12.00m,Brasileiro Série A
Vitao,Centre-Back,25,Brazil,Sport Club Internacional,€12.00m,Brasileiro Série A
Breno Bidon,Central Midfield,20,Brazil,Sport Club Corinthians Paulista,€12.00m,Brasileiro Série A
Gabriel Carvalho,Right Winger,17,Brazil,Sport Club Internacional,€12.00m,Brasileiro Série A
Lorran,Attacking Midfield,19,Brazil,CR Flamengo,€11.00m,Brasileiro Série A
Anibal Moreno,Defensive Midfield,26,Argentina,Sociedade Esportiva Palmeiras,€11.00m,Brasileiro Série A
Mauricio,Attacking Midfield,24,Brazil,Sociedade Esportiva Palmeiras,€11.00m,Brasileiro Série A
Matheus Pereira,Attacking Midfield,29,Brazil,Cruzeiro Esporte Clube,€11.00m,Brasileiro Série A
Memphis Depay,Centre-Forward,31,Netherlands,Sport Club Corinthians Paulista,€10.00m,Brasileiro Série A
Guilherme Arana,Left-Back,28,Brazil,Clube Atlético Mineiro,€10.00m,Brasileiro Série A
Jose Manuel Lopez,Centre-Forward,24,Argentina,Sociedade Esportiva Palmeiras,€10.00m,Brasileiro Série A
Martinelli,Defensive Midfield,23,Brazil,Fluminense Football Club,€10.00m,Brasileiro Série A
Jefferson Savarino,Attacking Midfield,28,Venezuela,Botafogo de Futebol e Regatas,€10.00m,Brasileiro Série A
Arthur Cabral,Centre-Forward,27,Brazil,Botafogo de Futebol e Regatas,€10.00m,Brasileiro Série A
Hugo Souza,Goalkeeper,26,Brazil,Sport Club Corinthians Paulista,€10.00m,Brasileiro Série A
Wesley,Left Winger,26,Brazil,Sport Club Internacional,€9.00m,Brasileiro Série A
Pablo Maia,Defensive Midfield,23,Brazil,São Paulo Futebol Clube,€9.00m,Brasileiro Série A
Leo Pereira,Centre-Back,29,Brazil,CR Flamengo,€8.00m,Brasileiro Série A
John Victor,Goalkeeper,29,Brazil,Botafogo de Futebol e Regatas,€8.00m,Brasileiro Série A
Everton,Left Winger,29,Brazil,CR Flamengo,€8.00m,Brasileiro Série A
Cuiabano,Left-Back,22,Brazil,Botafogo de Futebol e Regatas,€8.00m,Brasileiro Série A
Luciano Rodriguez,Centre-Forward,22,Uruguay,Esporte Clube Bahia,€8.00m,Brasileiro Série A
Deivid Washington,Centre-Forward,20,Brazil,Santos FC,€8.00m,Brasileiro Série A
Lucas Piton,Left-Back,24,Italy,Clube de Regatas Vasco da Gama,€8.00m,Brasileiro Série A
Benjamin Rollheiser,Right Winger,25,Argentina,Santos FC,€8.00m,Brasileiro Série A
Christian,Central Midfield,24,Brazil,Cruzeiro Esporte Clube,€8.00m,Brasileiro Série A
Agustin Giay,Right-Back,21,Argentina,Sociedade Esportiva Palmeiras,€8.00m,Brasileiro Série A
Jean Lucas,Central Midfield,27,Brazil,Esporte Clube Bahia,€8.00m,Brasileiro Série A
Rodrigo Nestor,Central Midfield,24,Brazil,Esporte Clube Bahia,€8.00m,Brasileiro Série A
Fabricio Bruno,Centre-Back,29,Brazil,Cruzeiro Esporte Clube,€8.00m,Brasileiro Série A
Artur,Right Winger,27,Brazil,Botafogo de Futebol e Regatas,€8.00m,Brasileiro Série A
Mathias Villasanti,Defensive Midfield,28,Paraguay,Grêmio Foot-Ball Porto Alegrense,€8.00m,Brasileiro Série A
Ferreirinha,Left Winger,27,Brazil,São Paulo Futebol Clube,€8.00m,Brasileiro Série A
Gustavo Scarpa,Attacking Midfield,31,Brazil,Clube Atlético Mineiro,€7.50m,Brasileiro Série A
Vitinho,Left Winger,26,Brazil,Sport Club Internacional,€7.50m,Brasileiro Série A
Rafael Borre,Centre-Forward,29,Colombia,Sport Club Internacional,€7.00m,Brasileiro Série A
Jhon Jhon,Attacking Midfield,22,Brazil,Red Bull Bragantino,€7.00m,Brasileiro Série A
Hercules,Central Midfield,24,Brazil,Fluminense Football Club,€7.00m,Brasileiro Série A
John Kennedy,Centre-Forward,23,Brazil,Fluminense Football Club,€7.00m,Brasileiro Série A
Ayrton Lucas,Left-Back,28,Brazil,CR Flamengo,€7.00m,Brasileiro Série A
Agustin Rossi,Goalkeeper,29,Argentina,CR Flamengo,€7.00m,Brasileiro Série A
Gabriel Menino,Central Midfield,24,Brazil,Clube Atlético Mineiro,€7.00m,Brasileiro Série A
Talles Magno,Left Winger,23,Brazil,Sport Club Corinthians Paulista,€7.00m,Brasileiro Série A
Matias Vina,Left-Back,27,Uruguay,CR Flamengo,€7.00m,Brasileiro Série A
Emiliano Martinez,Defensive Midfield,25,Uruguay,Sociedade Esportiva Palmeiras,€7.00m,Brasileiro Série A
Matheus Martins,Left Winger,22,Brazil,Botafogo de Futebol e Regatas,€7.00m,Brasileiro Série A
Gonzalo Plata,Right Winger,24,Ecuador,CR Flamengo,€7.00m,Brasileiro Série A
Murilo,Centre-Back,28,Brazil,Sociedade Esportiva Palmeiras,€7.00m,Brasileiro Série A
Kaio Jorge,Centre-Forward,23,Brazil,Cruzeiro Esporte Clube,€7.00m,Brasileiro Série A
Franco Cristaldo,Attacking Midfield,28,Argentina,Grêmio Foot-Ball Porto Alegrense,€7.00m,Brasileiro Série A
Leo Jardim,Goalkeeper,30,Brazil,Clube de Regatas Vasco da Gama,€7.00m,Brasileiro Série A
Alexandro Bernabei,Left-Back,24,Argentina,Sport Club Internacional,€7.00m,Brasileiro Série A
Rony,Centre-Forward,30,Brazil,Clube Atlético Mineiro,€6.50m,Brasileiro Série A
Caio Alexandre,Defensive Midfield,26,Brazil,Esporte Clube Bahia,€6.50m,Brasileiro Série A
Juninho Capixaba,Left-Back,28,Brazil,Red Bull Bragantino,€6.00m,Brasileiro Série A
Tomas Cuello,Left Winger,25,Argentina,Clube Atlético Mineiro,€6.00m,Brasileiro Série A
Lyanco,Centre-Back,28,Brazil,Clube Atlético Mineiro,€6.00m,Brasileiro Série A
Isidro Pitta,Centre-Forward,25,Paraguay,Red Bull Bragantino,€6.00m,Brasileiro Série A
Tomas Pochettino,Attacking Midfield,29,Argentina,Fortaleza Esporte Clube,€6.00m,Brasileiro Série A
Nathan Fernandes,Right Winger,20,Brazil,Botafogo de Futebol e Regatas,€6.00m,Brasileiro Série A
Michael,Left Winger,29,Brazil,CR Flamengo,€6.00m,Brasileiro Série A
Rubens,Central Midfield,24,Brazil,Clube Atlético Mineiro,€6.00m,Brasileiro Série A
Erick Pulga,Left Winger,24,Brazil,Esporte Clube Bahia,€6.00m,Brasileiro Série A
Jorginho,Defensive Midfield,33,Italy,CR Flamengo,€6.00m,Brasileiro Série A
Marlon Freitas,Defensive Midfield,30,Brazil,Botafogo de Futebol e Regatas,€6.00m,Brasileiro Série A
Benjamin Garre,Right Winger,25,Argentina,Clube de Regatas Vasco da Gama,€6.00m,Brasileiro Série A
Matheus Henrique,Central Midfield,27,Brazil,Cruzeiro Esporte Clube,€6.00m,Brasileiro Série A
Cristian Olivera,Right Winger,23,Uruguay,Grêmio Foot-Ball Porto Alegrense,€6.00m,Brasileiro Série A
Alexander Aravena,Left Winger,22,Chile,Grêmio Foot-Ball Porto Alegrense,€6.00m,Brasileiro Série A
Riquelme,Right Winger,18,Brazil,Fluminense Football Club,€6.00m,Brasileiro Série A
Miguel Monsalve,Attacking Midfield,21,Colombia,Grêmio Foot-Ball Porto Alegrense,€6.00m,Brasileiro Série A
Yeferson Soteldo,Left Winger,28,Venezuela,Fluminense Football Club,€6.00m,Brasileiro Série A
Gabriel Barbosa,Centre-Forward,28,Brazil,Cruzeiro Esporte Clube,€6.00m,Brasileiro Série A
Ryan Francisco,Centre-Forward,18,Brazil,São Paulo Futebol Clube,€6.00m,Brasileiro Série A
Vitinho,Right-Back,26,Brazil,Botafogo de Futebol e Regatas,€6.00m,Brasileiro Série A
Matheuzinho,Right-Back,24,Brazil,Sport Club Corinthians Paulista,€6.00m,Brasileiro Série A
Kayky,Right Winger,22,Brazil,Esporte Clube Bahia,€6.00m,Brasileiro Série A
Bruno Gomes,Right-Back,24,Brazil,Sport Club Internacional,€6.00m,Brasileiro Série A
Santiago Ramos Mingo,Centre-Back,23,Argentina,Esporte Clube Bahia,€6.00m,Brasileiro Série A
Gabriel Brazao,Goalkeeper,24,Brazil,Santos FC,€6.00m,Brasileiro Série A
Marquinhos,Right Winger,22,Brazil,Cruzeiro Esporte Clube,€5.50m,Brasileiro Série A
Cauly,Attacking Midfield,29,Brazil,Esporte Clube Bahia,€5.50m,Brasileiro Série A
