name,position,age,nation,club,value
Cesar Azpilicueta,Centre-Back,35,Spain,Without Club,€1.50m
Everton Ribeiro,Attacking Midfield,36,Brazil,Esporte Clube Bahia,€1.50m
Artem Dzyuba,Centre-Forward,36,Russia,Akron Togliatti,€1.50m
Eric-Maxim Choupo-Moting,Centre-Forward,36,Cameroon,New York Red Bulls,€1.50m
Ivan Perisic,Right Winger,36,Croatia,PSV Eindhoven,€1.50m
Alexis Sanchez,Centre-Forward,36,Chile,Udinese Calcio,€1.50m
Daley Blind,Centre-Back,35,Netherlands,Girona FC,€1.50m
Rafael Toloi,Centre-Back,34,Italy,Without Club,€1.40m
Yuri Berchiche,Left-Back,35,Spain,Athletic Bilbao,€1.40m
Braian Romero,Centre-Forward,34,Argentina,CA Vélez Sarsfield,€1.20m
Ruben Pena,Right-Back,34,Spain,CD Leganés,€1.20m
Ismaily,Left-Back,35,Brazil,Without Club,€1.20m
Luis Muriel,Centre-Forward,34,Colombia,Orlando City SC,€1.20m
Ali Mabkhout,Centre-Forward,34,United Arab Emirates,Al-Nasr SC (UAE),€1.20m
Ahmed Hegazy,Centre-Back,34,Egypt,NEOM SC,€1.20m
Edin Visca,Right Winger,35,Bosnia-Herzegovina,Trabzonspor,€1.20m
Everson,Goalkeeper,35,Brazil,Clube Atlético Mineiro,€1.20m
Anthony Lopes,Goalkeeper,34,Portugal,FC Nantes,€1.20m
Simon Mignolet,Goalkeeper,37,Belgium,Club Brugge KV,€1.20m
Grzegorz Krychowiak,Defensive Midfield,35,Poland,Without Club,€1.20m
Sergio Ramos,Centre-Back,39,Spain,CF Monterrey,€1.20m
Gabriel Avalos,Centre-Forward,34,Paraguay,CA Independiente,€1.00m
Bruno Henrique,Left Winger,34,Brazil,CR Flamengo,€1.00m
Shogo Taniguchi,Centre-Back,34,Japan,Sint-Truidense VV,€1.00m
Yahya Jabrane,Defensive Midfield,34,Morocco,Kuwait SC,€1.00m
Tiago Volpi,Goalkeeper,34,Brazil,Grêmio Foot-Ball Porto Alegrense,€1.00m
Matheus Uribe,Defensive Midfield,34,Colombia,Atlético Nacional,€1.00m
Jamie Vardy,Centre-Forward,38,England,Without Club,€1.00m
Darlington Nagbe,Central Midfield,35,United States,Columbus Crew,€1.00m
Gabriel Paulista,Centre-Back,34,Brazil,Besiktas JK,€1.00m
Alan Pulido,Centre-Forward,34,Mexico,Deportivo Guadalajara,€1.00m
Andre Carrillo,Central Midfield,34,Peru,Sport Club Corinthians Paulista,€1.00m
Mohamed El Shenawy,Goalkeeper,36,Egypt,Al Ahly FC,€1.00m
Alessandro Florenzi,Right-Back,34,Italy,Without Club,€1.00m
David Lopez,Centre-Back,35,Spain,Girona FC,€1.00m
Hector Herrera,Defensive Midfield,35,Mexico,Deportivo Toluca,€1.00m
Younes Belhanda,Attacking Midfield,35,Morocco,Al-Shamal SC,€1.00m
Kevin Behrens,Centre-Forward,34,Germany,FC Lugano,€1.00m
Guilherme,Defensive Midfield,34,Brazil,Al-Sadd SC,€1.00m
Sofiane Hanni,Attacking Midfield,34,Algeria,Al-Khor SC,€1.00m
Roberto Pereyra,Central Midfield,34,Argentina,AEK Athens,€1.00m
Wahbi Khazri,Left Winger,34,Tunisia,Without Club,€1.00m
Leandro Cabrera,Centre-Back,34,Uruguay,RCD Espanyol Barcelona,€1.00m
Marc Bartra,Centre-Back,34,Spain,Real Betis Balompié,€1.00m
Pietro Terracciano,Goalkeeper,35,Italy,AC Milan,€1.00m
Juan Cuadrado,Right Midfield,37,Colombia,Without Club,€1.00m
Nicolas Viola,Attacking Midfield,35,Italy,Without Club,€1.00m
Nathaniel Clyne,Right-Back,34,England,Crystal Palace,€1.00m
Eduardo Salvio,Right Winger,35,Argentina,CA Lanús,€1.00m
Keylor Navas,Goalkeeper,38,Costa Rica,UNAM Pumas,€1.00m
Robin Olsen,Goalkeeper,35,Sweden,Malmö FF,€1.00m
Martin Dubravka,Goalkeeper,36,Slovakia,Newcastle United,€1.00m
Pedro,Right Winger,37,Spain,SS Lazio,€1.00m
Cristhian Stuani,Centre-Forward,38,Uruguay,Girona FC,€1.00m
Aleksandar Dragovic,Centre-Back,34,Austria,Austria Vienna,€1.00m
Nicolas Otamendi,Centre-Back,37,Argentina,SL Benfica,€1.00m
Fraser Forster,Goalkeeper,37,England,Without Club,€1.00m
Mert Gunok,Goalkeeper,36,Türkiye,Besiktas JK,€1.00m
Fedor Smolov,Centre-Forward,35,Russia,Without Club,€1.00m
Edinson Cavani,Centre-Forward,38,Uruguay,CA Boca Juniors,€1.00m
Cenk Tosun,Centre-Forward,34,Türkiye,Fenerbahce,€1.00m
Wojciech Szczesny,Goalkeeper,35,Poland,FC Barcelona,€1.00m
Hugo Lloris,Goalkeeper,38,France,Los Angeles FC,€1.00m
Igor Akinfeev,Goalkeeper,39,Russia,CSKA Moscow,€1.00m
Raul Albiol,Centre-Back,39,Spain,Without Club,€1.00m
James Milner,Central Midfield,39,England,Brighton & Hove Albion,€1.00m
Bastos,Centre-Back,34,Angola,Botafogo de Futebol e Regatas,€900k
Dani Garcia,Central Midfield,35,Spain,Olympiacos Piraeus,€900k
Stefan Savic,Centre-Back,34,Montenegro,Trabzonspor,€900k
Kike Garcia,Centre-Forward,35,Spain,RCD Espanyol Barcelona,€900k
Rodrigo Battaglia,Defensive Midfield,34,Argentina,CA Boca Juniors,€900k
Kiko Femenia,Right-Back,34,Spain,Getafe CF,€900k
Francis Coquelin,Defensive Midfield,34,France,FC Nantes,€900k
Sergiy Kryvtsov,Centre-Back,34,Ukraine,Without Club,€900k
Orjan Nyland,Goalkeeper,34,Norway,Sevilla FC,€900k
Taras Stepanenko,Defensive Midfield,35,Ukraine,Eyüpspor,€850k
Gustavo Velazquez,Centre-Back,34,Paraguay,Club Cerro Porteño,€800k
Ryan Hollingshead,Left-Back,34,United States,Los Angeles FC,€800k
Alvaro Gonzalez,Centre-Back,35,Spain,CD Tenerife,€800k
Jasper Cillessen,Goalkeeper,36,Netherlands,Without Club,€800k
Dani Rodriguez,Attacking Midfield,37,Spain,RCD Mallorca,€800k
Joao Paulo,Central Midfield,34,Brazil,Seattle Sounders FC,€800k
Federico Lertora,Defensive Midfield,35,Argentina,Querétaro FC,€800k
Hugo Mallo,Right-Back,34,Spain,Without Club,€800k
Eduardo,Attacking Midfield,35,Brazil,Cruzeiro Esporte Clube,€800k
Sebastian Coates,Centre-Back,34,Uruguay,Club Nacional,€800k
Ander Herrera,Central Midfield,35,Spain,CA Boca Juniors,€800k
Charles Aranguiz,Central Midfield,36,Chile,Club Universidad de Chile,€800k
Mario Rui,Left-Back,34,Portugal,Without Club,€800k
Alexander Meyer,Goalkeeper,34,Germany,Borussia Dortmund,€800k
Luka Milivojevic,Defensive Midfield,34,Serbia,Al-Nasr SC (UAE),€800k
Darko Lazovic,Left Midfield,34,Serbia,Without Club,€800k
Rafael Carioca,Defensive Midfield,36,Brazil,Without Club,€800k
Odion Ighalo,Centre-Forward,36,Nigeria,Without Club,€800k
Fernando Muslera,Goalkeeper,39,Uruguay,Club Estudiantes de La Plata,€800k
German Cano,Centre-Forward,37,Argentina,Fluminense Football Club,€800k
Fernando,Defensive Midfield,37,Brazil,Sport Club Internacional,€800k
Rui Patricio,Goalkeeper,37,Portugal,Without Club,€800k
Diego Costa,Centre-Forward,36,Spain,Without Club,€800k
Javi Martinez,Centre-Back,36,Spain,Without Club,€800k
Milan Badelj,Defensive Midfield,36,Croatia,Without Club,€800k
Lorenzo De Silvestri,Right-Back,37,Italy,Bologna FC 1909,€800k
Jose Corpas,Right Winger,34,Spain,SD Eibar,€750k
Pablo Vegetti,Centre-Forward,36,Argentina,Clube de Regatas Vasco da Gama,€750k
Min-kyu Joo,Centre-Forward,35,"Korea, South",Daejeon Hana Citizen,€750k
Faycal Fajr,Central Midfield,36,Morocco,Al-Taawoun FC,€750k
Gianluca Lapadula,Centre-Forward,35,Peru,Spezia Calcio,€750k
Pontus Jansson,Centre-Back,34,Sweden,Malmö FF,€750k
Munir El Kajoui,Goalkeeper,36,Morocco,Renaissance de Berkane,€750k
Salomon Rondon,Centre-Forward,35,Venezuela,Real Oviedo,€750k
Franco Vazquez,Attacking Midfield,36,Argentina,US Cremonese,€750k
Roberto Soriano,Attacking Midfield,34,Italy,Without Club,€750k
Adam Smith,Right-Back,34,England,AFC Bournemouth,€750k
Tolgay Arslan,Attacking Midfield,34,Germany,Sanfrecce Hiroshima,€750k
Willian,Left Winger,36,Brazil,Without Club,€750k
Dimitri Payet,Attacking Midfield,38,France,Without Club,€750k
Ever Banega,Central Midfield,37,Argentina,CA Newell's Old Boys,€750k
Leonardo Morales,Centre-Back,34,Argentina,Club Atlético Belgrano,€700k
Juan Pablo Vigon,Central Midfield,34,Mexico,Tigres UANL,€700k
Angel Sepulveda,Centre-Forward,34,Mexico,CD Cruz Azul,€700k
Julio Gonzalez,Goalkeeper,34,Mexico,Puebla FC,€700k
Vitor Hugo,Centre-Back,34,Brazil,Clube Atlético Mineiro,€700k
Aleksandar Katai,Attacking Midfield,34,Serbia,Red Star Belgrade,€700k
Jose Luis Palomino,Centre-Back,35,Argentina,CA Talleres,€700k
Loic Nego,Right-Back,34,Hungary,Le Havre AC,€700k
Franco Armani,Goalkeeper,38,Argentina,CA River Plate,€700k
Aitor Fernandez,Goalkeeper,34,Spain,CA Osasuna,€700k
Michail Antonio,Centre-Forward,35,Jamaica,Without Club,€700k
Mario Fernandes,Right-Back,34,Russia,Without Club,€700k
Ivan Marcone,Defensive Midfield,35,Argentina,CA Independiente,€700k
Luca Caldirola,Centre-Back,34,Italy,Without Club,€700k
Christian Kabasele,Centre-Back,34,Belgium,Udinese Calcio,€700k
Janis Blaswich,Goalkeeper,34,Germany,RB Leipzig,€700k
Christian Gytkjaer,Centre-Forward,35,Denmark,SSC Bari,€700k
Ben Mee,Centre-Back,35,England,Without Club,€700k
Steven Nzonzi,Defensive Midfield,36,France,Without Club,€700k
Anton Zabolotnyi,Centre-Forward,34,Russia,Spartak Moscow,€700k
Leonardo Pavoletti,Centre-Forward,36,Italy,Cagliari Calcio,€700k
Vicente Guaita,Goalkeeper,38,Spain,Without Club,€700k
Asier Illarramendi,Defensive Midfield,35,Spain,Without Club,€700k
Danilo D'Ambrosio,Centre-Back,36,Italy,Without Club,€700k
Agustin Marchesin,Goalkeeper,37,Argentina,CA Boca Juniors,€700k
Gabriel Arias,Goalkeeper,37,Chile,Racing Club,€700k
Domagoj Vida,Centre-Back,36,Croatia,AEK Athens,€700k
Kevin Muller,Goalkeeper,34,Germany,1.FC Heidenheim 1846,€700k
Thiago Silva,Centre-Back,40,Brazil,Fluminense Football Club,€700k
Cesinha,Attacking Midfield,35,Brazil,Daegu FC,€650k
Anas Zniti,Goalkeeper,36,Morocco,Al-Wasl FC,€650k
Stefan Mitrovic,Centre-Back,35,Serbia,KAA Gent,€650k
Leandro Fernandez,Left Winger,34,Argentina,Club Universidad de Chile,€650k
Seung-gyu Kim,Goalkeeper,34,"Korea, South",FC Tokyo,€650k
Douglas Costa,Right Winger,34,Brazil,Sydney FC,€650k
Daniel Wass,Central Midfield,36,Denmark,Bröndby IF,€650k
Valere Germain,Centre-Forward,35,France,Sanfrecce Hiroshima,€650k
Nuno Da Costa,Centre-Forward,34,Cape Verde,Basaksehir FK,€600k
Brad Stuver,Goalkeeper,34,United States,Austin FC,€600k
Luis Reyes,Left-Back,34,Mexico,CF Monterrey,€600k
Salvi Sanchez,Right Winger,34,Spain,Without Club,€600k
Andre Blake,Goalkeeper,34,Jamaica,Philadelphia Union,€600k
Luis Quinones,Right Winger,34,Colombia,CF Pachuca,€600k
Omar Al-Somah,Centre-Forward,36,Syria,Without Club,€600k
Pedro Henrique,Right Winger,35,Brazil,Ceará Sporting Club,€600k
Roger Marti,Centre-Forward,34,Spain,Cádiz CF,€600k
Askhat Tagybergen,Central Midfield,34,Kazakhstan,Tobol Kostanay,€600k
Gerso,Left Winger,34,Guinea-Bissau,Incheon United,€600k
Anthony Nwakaeme,Left Winger,36,Nigeria,Trabzonspor,€600k
Helton Leite,Goalkeeper,34,Brazil,Deportivo de La Coruña,€600k
Edenilson,Central Midfield,35,Brazil,Grêmio Foot-Ball Porto Alegrense,€600k
Jonathan Viera,Attacking Midfield,35,Spain,UD Las Palmas,€600k
Pablo,Centre-Back,34,Brazil,CR Flamengo,€600k
Walter Kannemann,Centre-Back,34,Argentina,Grêmio Foot-Ball Porto Alegrense,€600k
Jonas Martin,Defensive Midfield,35,France,Without Club,€600k
Andre Gray,Centre-Forward,34,Jamaica,Fatih Karagümrük,€600k
Juanpe,Centre-Back,34,Spain,Atlético de San Luis,€600k
Yuya Osako,Centre-Forward,35,Japan,Vissel Kobe,€600k
Hugo Nervo,Centre-Back,34,Argentina,CA Huracán,€600k
Mateusz Klich,Central Midfield,35,Poland,MLS Pool,€600k
Johann Berg Gudmundsson,Right Winger,34,Iceland,Al-Dhafra FC,€600k
Aleksandr Kokorin,Second Striker,34,Russia,Aris Limassol,€600k
Roderick Miranda,Centre-Back,34,Portugal,Melbourne Victory,€600k
Nahir Besara,Attacking Midfield,34,Sweden,Hammarby IF,€600k
Denis Alibec,Centre-Forward,34,Romania,FCSB,€600k
Stefan Schwab,Central Midfield,34,Austria,Holstein Kiel,€600k
Christopher Trimmel,Right-Back,38,Austria,1.FC Union Berlin,€600k
Gael Kakuta,Attacking Midfield,34,DR Congo,Sakaryaspor,€600k
Camilo Vargas,Goalkeeper,36,Colombia,Atlas Guadalajara,€600k
Youssef Msakni,Left Winger,34,Tunisia,Without Club,€600k
Jorge Pulido,Centre-Back,34,Spain,SD Huesca,€600k
Wes Foderingham,Goalkeeper,34,England,West Ham United,€600k
Aaron Ramsey,Central Midfield,34,Wales,UNAM Pumas,€600k
Ibrahim Sehic,Goalkeeper,36,Bosnia-Herzegovina,Corum FK,€600k
Andre Ayew,Centre-Forward,35,Ghana,Without Club,€600k
Dejan Lovren,Centre-Back,36,Croatia,PAOK Thessaloniki,€600k
Joao Moutinho,Central Midfield,38,Portugal,SC Braga,€600k
Utkir Yusupov,Goalkeeper,34,Uzbekistan,Foolad FC,€550k
Martin Barragan,Centre-Forward,34,Mexico,Celaya FC,€550k
Raul Ruidiaz,Centre-Forward,34,Peru,Club Atlético Grau,€550k
Amir Sayoud,Attacking Midfield,34,Algeria,Without Club,€550k
Vina,Attacking Midfield,34,Brazil,Al-Jubail Club,€550k
Ryad Boudebouz,Attacking Midfield,35,Algeria,JS Kabylie,€550k
Andros Townsend,Right Winger,34,England,Antalyaspor,€550k
Rodrigo Aliendro,Central Midfield,34,Argentina,CA River Plate,€500k
Davidson,Left Winger,34,Brazil,Qingdao West Coast,€500k
Keno,Left Winger,35,Brazil,Fluminense Football Club,€500k
Jun Amano,Attacking Midfield,34,Japan,Yokohama F. Marinos,€500k
Joao Ricardo,Goalkeeper,36,Brazil,Fortaleza Esporte Clube,€500k
Sergi Guardiola,Centre-Forward,34,Spain,Córdoba CF,€500k
Jose Luis Morales,Centre-Forward,38,Spain,Levante UD,€500k
Ruben Alcaraz,Central Midfield,34,Spain,Cádiz CF,€500k
Deyverson,Centre-Forward,34,Brazil,Fortaleza Esporte Clube,€500k
Leandre Tawamba,Centre-Forward,35,Cameroon,Al-Tai FC,€500k
Mourad Batna,Right Winger,35,Morocco,Without Club,€500k
Lucas Lima,Attacking Midfield,35,Brazil,Sport Club do Recife,€500k
Guelor Kanga,Central Midfield,34,Gabon,Esenler Erokspor,€500k
Michael Ngadeu,Centre-Back,34,Cameroon,Beijing Guoan,€500k
Oscar Plano,Second Striker,34,Spain,Without Club,€500k
Marcus Rohden,Central Midfield,34,Sweden,AEK Larnaca,€500k
Everaldo,Centre-Forward,34,Brazil,Fluminense Football Club,€500k
Roque Mesa,Central Midfield,36,Spain,Without Club,€500k
Vladimir Darida,Central Midfield,34,Czech Republic,FC Hradec Kralove,€500k
Jean Michael Seri,Defensive Midfield,34,Cote d'Ivoire,Without Club,€500k
Jesus Imaz,Attacking Midfield,34,Spain,Jagiellonia Bialystok,€500k
Islam Slimani,Centre-Forward,37,Algeria,CR Belouizdad,€500k
Garry Rodrigues,Left Winger,34,Cape Verde,Apollon Limassol,€500k
Bit-garam Yoon,Central Midfield,35,"Korea, South",Suwon FC,€500k
Brecht Dejaegere,Central Midfield,34,Belgium,KV Kortrijk,€500k
Luis Rodriguez,Right-Back,34,Mexico,CF Pachuca,€500k
Santos,Goalkeeper,35,Brazil,Club Athletico Paranaense,€500k
Kook-young Han,Defensive Midfield,35,"Korea, South",Jeonbuk Hyundai Motors,€500k
Rogelio Funes Mori,Centre-Forward,34,Mexico,Without Club,€500k
Alexandru Maxim,Attacking Midfield,35,Romania,Gaziantep FK,€500k
Hugo Gonzalez,Goalkeeper,34,Mexico,Deportivo Toluca,€500k
Leonardo Gil,Central Midfield,34,Chile,CA Huracán,€500k
Sergiy Sydorchuk,Defensive Midfield,34,Ukraine,KVC Westerlo,€500k
Hotaru Yamaguchi,Defensive Midfield,34,Japan,V-Varen Nagasaki,€500k
Tae-hee Nam,Attacking Midfield,34,"Korea, South",Jeju SK,€500k
Carlos Izquierdoz,Centre-Back,36,Argentina,CA Lanús,€500k
Gunay Guvenc,Goalkeeper,34,Türkiye,Galatasaray,€500k
Javier Aquino,Right-Back,35,Mexico,Tigres UANL,€500k
Diego de Buen,Defensive Midfield,34,Mexico,Club Necaxa,€500k
Joel Robles,Goalkeeper,35,Spain,GD Estoril Praia,€500k
Fabio Borini,Left Winger,34,Italy,Without Club,€500k
Pedro Gallese,Goalkeeper,35,Peru,Orlando City SC,€500k
Joel Ward,Right-Back,35,England,Without Club,€500k
Aaron Cresswell,Left-Back,35,England,Stoke City,€500k
Ruben Botta,Attacking Midfield,35,Argentina,CA Talleres,€500k
Alexandros Paschalakis,Goalkeeper,35,Greece,Olympiacos Piraeus,€500k
Marco Silvestri,Goalkeeper,34,Italy,Without Club,€500k
Eran Zahavi,Centre-Forward,37,Israel,Without Club,€500k
James Forrest,Right Winger,34,Scotland,Celtic FC,€500k
Hiroki Sakai,Right-Back,35,Japan,Auckland FC,€500k
Tjaronn Chery,Attacking Midfield,37,Suriname,NEC Nijmegen,€500k
Nicolas Lodeiro,Attacking Midfield,36,Uruguay,Club Nacional,€500k
Adrian,Goalkeeper,38,Spain,Real Betis Balompié,€500k
Jens Stryger Larsen,Right-Back,34,Denmark,Malmö FF,€500k
Milan Rodic,Left-Back,34,Serbia,Without Club,€500k
Seamus Coleman,Right-Back,36,Ireland,Everton FC,€500k
Rafael,Goalkeeper,36,Brazil,São Paulo Futebol Clube,€500k
Cheikhou Kouyate,Defensive Midfield,35,Senegal,Without Club,€500k
Jonathan dos Santos,Defensive Midfield,35,Mexico,CF América,€500k
Victor Moses,Right Winger,34,Nigeria,Without Club,€500k
Lewis Holtby,Central Midfield,34,Germany,Without Club,€500k
Johnny Russell,Right Winger,35,Scotland,Real Salt Lake City,€500k
Nicolas Hofler,Defensive Midfield,35,Germany,SC Freiburg,€500k
Giuliano,Attacking Midfield,35,Brazil,Club Athletico Paranaense,€500k
Jay Rodriguez,Centre-Forward,35,England,Wrexham AFC,€500k
Patrick van Aanholt,Left-Back,34,Netherlands,Sparta Rotterdam,€500k
Zanka,Centre-Back,35,Denmark,Los Angeles Galaxy,€500k
Danijel Aleksic,Attacking Midfield,34,Serbia,Konyaspor,€500k
Teemu Pukki,Centre-Forward,35,Finland,HJK Helsinki,€500k
Moussa Sissoko,Central Midfield,35,France,Watford FC,€500k
Adel Taarabt,Central Midfield,36,Morocco,Sharjah FC,€500k
Mario Balotelli,Centre-Forward,34,Italy,Without Club,€500k
Sven Ulreich,Goalkeeper,36,Germany,Without Club,€500k
Massimo Coda,Centre-Forward,36,Italy,UC Sampdoria,€500k
Oscar Trejo,Attacking Midfield,37,Argentina,Rayo Vallecano,€500k
Lukasz Fabianski,Goalkeeper,40,Poland,Without Club,€500k
Guillermo Ochoa,Goalkeeper,40,Mexico,Without Club,€500k
Steve Mandanda,Goalkeeper,40,France,Without Club,€500k
Ron-Robert Zieler,Goalkeeper,36,Germany,1.FC Köln,€500k
Kasper Schmeichel,Goalkeeper,38,Denmark,Celtic FC,€500k
Dante,Centre-Back,41,Brazil,OGC Nice,€500k
Ashley Young,Right-Back,40,England,Ipswich Town,€500k
Guilherme,Left-Back,35,Brazil,Konyaspor,€475k
Ahmed Hammoudan,Left Winger,34,Morocco,AS FAR Rabat,€450k
Michael Barrios,Right Winger,34,Colombia,Once Caldas,€450k
Josan,Right Winger,35,Spain,Elche CF,€450k
Larbi Naji,Defensive Midfield,34,Morocco,Without Club,€450k
Pedro Bigas,Centre-Back,35,Spain,Elche CF,€450k
Stanislav Ilyuchenko,Centre-Forward,34,Russia,Suwon Samsung Bluewings,€450k
Sven Michel,Left Winger,35,Germany,SC Paderborn 07,€450k
Kyo-won Han,Right Winger,35,"Korea, South",Chungnam Asan,€450k
Marcus Antonsson,Centre-Forward,34,Sweden,IFK Värnamo,€450k
Matias Zaldivia,Centre-Back,34,Chile,Club Universidad de Chile,€450k
Peter Szappanos,Goalkeeper,34,Hungary,Without Club,€450k
Robson,Right Winger,34,Brazil,Grêmio Novorizontino,€450k
Tae-hwan Kim,Right-Back,36,"Korea, South",Jeonbuk Hyundai Motors,€450k
Jeong-ho Hong,Centre-Back,35,"Korea, South",Jeonbuk Hyundai Motors,€450k
Ahmed El Shenawy,Goalkeeper,34,Egypt,Pyramids FC,€450k
Ryan Mendes,Left Winger,35,Cape Verde,Kocaelispor,€450k
Robert Mak,Left Winger,34,Slovakia,Slovan Bratislava,€450k
Hasan Al-Haydos,Attacking Midfield,34,Qatar,Al-Sadd SC,€450k
Sung-yueng Ki,Defensive Midfield,36,"Korea, South",Pohang Steelers,€450k
Martin Montoya,Right-Back,34,Spain,Without Club,€450k
Panagiotis Tachtsidis,Defensive Midfield,34,Greece,Without Club,€450k
Bibras Natcho,Attacking Midfield,37,Israel,FK Partizan Belgrade,€450k
Bruno Henrique,Central Midfield,35,Brazil,Sport Club Internacional,€400k
Christian Ramirez,Centre-Forward,34,United States,Los Angeles Galaxy,€400k
Moustapha Zeghba,Goalkeeper,34,Algeria,CR Belouizdad,€400k
Jaime Mata,Centre-Forward,36,Spain,UD Las Palmas,€400k
Jaume Domenech,Goalkeeper,34,Spain,Without Club,€400k
Reinaldo,Left-Back,35,Brazil,Mirassol Futebol Clube (SP),€400k
Fafa Picault,Left Winger,34,Haiti,Inter Miami CF,€400k
Yunis Abdelhamid,Centre-Back,37,Morocco,AS FAR Rabat,€400k
Maikel Mesa,Attacking Midfield,34,Spain,CD Tenerife,€400k
Julian Cuesta,Goalkeeper,34,Spain,Aris Thessaloniki,€400k
Yimmi Chara,Right Winger,34,Colombia,Junior FC,€400k
Gregoire Defrel,Centre-Forward,34,France,Modena FC,€400k
Bebe,Left Winger,35,Cape Verde,UD Ibiza,€400k
Florian Niederlechner,Centre-Forward,34,Germany,TSV 1860 Munich,€400k
Aviles Hurtado,Left Winger,38,Colombia,Deportivo Cali,€400k
Istvan Bognar,Attacking Midfield,34,Hungary,MTK Budapest,€400k
Caio Canedo,Centre-Forward,34,United Arab Emirates,Al-Wahda FC,€400k
Armando Sadiku,Centre-Forward,34,Albania,Without Club,€400k
Nicolas Pallois,Centre-Back,37,France,Stade Reims,€400k
Alessio Curcio,Left Winger,35,Italy,Ternana Calcio,€400k
William Tesillo,Centre-Back,35,Colombia,Atlético Nacional,€400k
Edgar Mendez,Right Winger,35,Spain,Bengaluru FC,€400k
Lorenzo Melgarejo,Left Winger,34,Paraguay,Club Libertad Asunción,€400k
Benjamin Stambouli,Defensive Midfield,34,France,FC Metz,€400k
Sean Johnson,Goalkeeper,36,United States,Toronto FC,€400k
Mathew Leckie,Left Winger,34,Australia,Melbourne City FC,€400k
Lisandro Lopez,Centre-Back,35,Argentina,Club Atlético Belgrano,€400k
Jan Gregus,Central Midfield,34,Slovakia,Without Club,€400k
Attila Fiola,Right-Back,35,Hungary,Újpest FC,€400k
Rhyan Grant,Right-Back,34,Australia,Sydney FC,€400k
Franko Andrijasevic,Attacking Midfield,34,Croatia,Zhejiang FC,€400k
Thomas Lehne Olsen,Centre-Forward,34,Norway,Lillestrøm SK,€400k
Gotoku Sakai,Right-Back,34,Japan,Vissel Kobe,€400k
Sebastien Corchia,Right-Back,34,France,AS Cannes,€400k
Sergey Petrov,Right-Back,34,Russia,FC Krasnodar,€400k
Gheorghe Grozav,Left Winger,34,Romania,Petrolul Ploiesti,€400k
Marc Mateu,Left-Back,35,Spain,CD Tenerife,€400k
Aleksandar Pejovic,Defensive Midfield,34,Serbia,FK Radnik Surdulica,€400k
Nick Viergever,Centre-Back,35,Netherlands,FC Utrecht,€400k
Ashley Westwood,Defensive Midfield,35,England,Charlotte FC,€400k
Gylfi Sigurdsson,Attacking Midfield,35,Iceland,Víkingur Reykjavík,€400k
Osmar,Centre-Back,37,Spain,Seoul E-Land,€400k
Ignacio Malcorra,Attacking Midfield,38,Argentina,CA Rosario Central,€400k
Lucas Mendes,Centre-Back,35,Qatar,Al-Wakrah SC,€400k
Bryan Linssen,Centre-Forward,34,Netherlands,NEC Nijmegen,€400k
Alexander Ring,Central Midfield,34,Finland,HJK Helsinki,€400k
Sergio Padt,Goalkeeper,35,Netherlands,Ludogorets Razgrad,€400k
Genki Haraguchi,Attacking Midfield,34,Japan,Urawa Red Diamonds,€400k
Necip Uysal,Centre-Back,34,Türkiye,Besiktas JK,€400k
Miroslav Stevanovic,Right Midfield,34,Bosnia-Herzegovina,Servette FC,€400k
Marinho,Right Winger,35,Brazil,Fortaleza Esporte Clube,€400k
David Ospina,Goalkeeper,36,Colombia,Atlético Nacional,€400k
Lucas Perez,Centre-Forward,36,Spain,Without Club,€400k
Artur Nigmatullin,Goalkeeper,34,Russia,Rubin Kazan,€400k
Ganso,Attacking Midfield,35,Brazil,Fluminense Football Club,€400k
Ilie Sanchez,Defensive Midfield,34,Spain,Austin FC,€400k
Pizzi,Attacking Midfield,35,Portugal,GD Estoril Praia,€400k
Tomas Vaclik,Goalkeeper,36,Czech Republic,Without Club,€400k
Etienne Capoue,Defensive Midfield,37,France,Without Club,€400k
Magnus Wolff Eikrem,Second Striker,34,Norway,Molde FK,€400k
Ermin Bicakcic,Centre-Back,35,Bosnia-Herzegovina,Without Club,€400k
Stevan Jovetic,Second Striker,35,Montenegro,Omonia Nicosia,€400k
Fernando Forestieri,Second Striker,35,Italy,AEL Limassol,€400k
Juan Mata,Attacking Midfield,37,Spain,Western Sydney Wanderers,€400k
Andre-Pierre Gignac,Centre-Forward,39,France,Tigres UANL,€400k
Ricky van Wolfswinkel,Centre-Forward,36,Netherlands,Twente Enschede FC,€400k
Max Gradel,Left Winger,37,Cote d'Ivoire,Without Club,€400k
Badou Ndiaye,Defensive Midfield,34,Senegal,Gaziantep FK,€375k
Fernando de Paul,Goalkeeper,34,Chile,CSD Colo-Colo,€375k
Ronnie Fernandez,Centre-Forward,34,Chile,CD Palestino,€375k
Bergson,Centre-Forward,34,Brazil,Johor Darul Ta'zim,€375k
Luke Brattan,Defensive Midfield,35,Australia,Macarthur FC,€375k
Filip Kurto,Goalkeeper,34,Poland,Macarthur FC,€375k
Robert Beric,Centre-Forward,34,Slovenia,Changchun Yatai Reserves,€375k
Hernesto Caballero,Central Midfield,34,Paraguay,Club Libertad Asunción,€350k
Gaston Suso,Centre-Back,34,Argentina,Club de Gimnasia y Esgrima La Plata,€350k
Lamine Diakite,Centre-Forward,34,Cote d'Ivoire,FUS Rabat,€350k
Jun Ichimori,Goalkeeper,34,Japan,Gamba Osaka,€350k
Raphael Odogwu,Centre-Forward,34,Italy,FC Südtirol,€350k
