name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Boris Matic,DF,Right_Back,20,Serbia,UEFA,Wolfsberger AC,Austria_Bundesliga,13.0,borismatic_SER
Finn Surman,DF,Centre_Back,21,New Zealand,OFC,Portland Timbers,MLS,13.0,finnsurman_NEW
Fernando,MF,Defensive_Midfielder,38,Brazil,CONMEBOL,Sport Club Internacional,Brasileiro_SerieA,13.0,fernando_BRA
German Cano,FW,Striker,37,Argentina,CONMEBOL,Fluminense Football Club,Brasileiro_SerieA,13.0,germancano_ARG
Federico Lertora,MF,Defensive_Midfielder,35,Argentina,CONMEBOL,Querétaro FC,Liga_MX,13.0,federicolertora_ARG
Joao Paulo,MF,Central_Midfielder,34,Brazil,CONMEBOL,Seattle Sounders FC,MLS,13.0,joaopaulo_BRA
Nicky Cadden,MF,Side_Midfielder,28,Scotland,UEFA,Hibernian FC,Scottish_Premiership,13.0,nickycadden_SCO
Florian Flecker,MF,Side_Midfielder,29,Austria,UEFA,LASK,Austria_Bundesliga,13.0,florianflecker_AUS
Emmanuel Longelo,DF,Left_Back,24,England,UEFA,Motherwell FC,Scottish_Premiership,13.0,emmanuellongelo_ENG
Valon Berisha,MF,Side_Midfielder,32,Kosovo,UEFA,LASK,Austria_Bundesliga,13.0,valonberisha_KOS
Josh Mulligan,MF,Side_Midfielder,22,Scotland,UEFA,Hibernian FC,Scottish_Premiership,13.0,joshmulligan_SCO
Kristian Fletcher,FW,Striker,19,United States,CONCACAF,D.C. United,MLS,13.0,kristianfletcher_UNI
Jonathan Gomez,DF,Left_Back,21,United States,CONCACAF,Albacete Balompié,LaLiga_2,13.0,jonathangomez_UNI
CJ dos Santos,GK,Goalkeeper,24,United States,CONCACAF,San Diego FC,MLS,13.0,cjdossantos_UNI
Bailey Rice,MF,Defensive_Midfielder,18,Scotland,UEFA,Rangers FC,Scottish_Premiership,13.0,baileyrice_SCO
Blair Spittal,MF,Central_Midfielder,29,Scotland,UEFA,Heart of Midlothian FC,Scottish_Premiership,13.0,blairspittal_SCO
Ibrahim Said,FW,Right_Winger,23,Nigeria,CAF,Motherwell FC,Scottish_Premiership,13.0,ibrahimsaid_NIG
Frankie Kent,DF,Centre_Back,29,England,UEFA,Heart of Midlothian FC,Scottish_Premiership,13.0,frankiekent_ENG
Rodrigo Holgado,FW,Striker,30,Malaysia,AFC,CD América de Cali,Liga_Dimayor,13.0,rodrigoholgado_MAL
Na Sang Ho,FW,Left_Winger,28,"Korea, South",AFC,Machida Zelvia,J1_League,13.0,nasangho_KOR
Leon King,DF,Centre_Back,21,Scotland,UEFA,Rangers FC,Scottish_Premiership,13.0,leonking_SCO
Kim Dae Won,FW,Left_Winger,28,"Korea, South",AFC,Gangwon FC,K_League1,13.0,kimdaewon_KOR
Lucas Silva,FW,Right_Winger,25,Brazil,CONMEBOL,FC Seoul,K_League1,13.0,lucassilva_BRA
Anderson Oliveira,FW,Left_Winger,27,Brazil,CONMEBOL,FC Seoul,K_League1,13.0,andersonoliveira_BRA
Fernando Muslera,GK,Goalkeeper,39,Uruguay,CONMEBOL,Club Estudiantes de La Plata,Liga_Profesional,13.0,fernandomuslera_URU
Odion Ighalo,FW,Striker,36,Nigeria,CAF,Without Club,Without_Club,13.0,odionighalo_NIG
Darko Lazovic,MF,Side_Midfielder,34,Serbia,UEFA,Without Club,Without_Club,13.0,darkolazovic_SER
Rafael Carioca,MF,Defensive_Midfielder,36,Brazil,CONMEBOL,Without Club,Without_Club,13.0,rafaelcarioca_BRA
Alexander Meyer,GK,Goalkeeper,34,Germany,UEFA,Borussia Dortmund,Bundesliga,13.0,alexandermeyer_GER
Luka Milivojevic,MF,Defensive_Midfielder,34,Serbia,UEFA,Al-Nasr SC (UAE),UAE_ProLeague,13.0,lukamilivojevic_SER
Isnik Alimi,MF,Central_Midfielder,31,North Macedonia,UEFA,Dalian Yingbo,Chinese_SuperLeague,13.0,isnikalimi_NOR
Oybek Rustamov,MF,Defensive_Midfielder,28,Uzbekistan,AFC,FC OKMK Olmaliq,Uzbekistan_SuperLeague,13.0,oybekrustamov_UZB
Lucas Possignolo,DF,Centre_Back,31,Brazil,CONMEBOL,Zhejiang FC,Chinese_SuperLeague,13.0,lucaspossignolo_BRA
Alexandru Ionita,MF,Attacking_Midfielder,30,Romania,UEFA,Yunnan Yukun,Chinese_SuperLeague,13.0,alexandruionita_ROM
Matheus Indio,MF,Defensive_Midfielder,25,Brazil,CONMEBOL,Qingdao West Coast,Chinese_SuperLeague,13.0,matheusindio_BRA
Oscar Melendo,MF,Attacking_Midfielder,27,Spain,UEFA,Shanghai Port,Chinese_SuperLeague,13.0,oscarmelendo_SPA
Gabrielzinho,FW,Left_Winger,29,Brazil,CONMEBOL,Shanghai Port,Chinese_SuperLeague,13.0,gabrielzinho_BRA
Takuya Kida,MF,Defensive_Midfielder,30,Japan,AFC,Yokohama F. Marinos,J1_League,13.0,takuyakida_JAP
Tokuma Suzuki,MF,Defensive_Midfielder,28,Japan,AFC,Gamba Osaka,J1_League,13.0,tokumasuzuki_JAP
Sandy Walsh,DF,Right_Back,30,Indonesia,AFC,Yokohama F. Marinos,J1_League,13.0,sandywalsh_IND
Jo Hyeon Woo,GK,Goalkeeper,33,"Korea, South",AFC,Ulsan HD FC,K_League1,13.0,johyeonwoo_KOR
Alireza Beiranvand,GK,Goalkeeper,32,Iran,AFC,Tractor FC,Persian_GulfProLeague,13.0,alirezabeiranvand_IRA
Aref Haji Eydi,MF,Defensive_Midfielder,26,Iran,AFC,Sepahan FC,Persian_GulfProLeague,13.0,arefhajieydi_IRA
Bryan Acosta,MF,Central_Midfielder,31,Honduras,CONCACAF,Nashville SC,MLS,13.0,bryanacosta_HON
Victor Rios,MF,Defensive_Midfielder,21,Mexico,CONCACAF,Atlas Guadalajara,Liga_MX,13.0,victorrios_MEX
Mathieu Choiniere,MF,Central_Midfielder,26,Canada,CONCACAF,Grasshopper Club Zurich,Swiss_SuperLeague,13.0,mathieuchoiniere_CAN
Alvaro Gonzalez,DF,Centre_Back,35,Spain,UEFA,CD Tenerife,Other_leagues,13.0,alvarogonzalez_SPA
Dani Rodriguez,MF,Attacking_Midfielder,37,Spain,UEFA,RCD Mallorca,LaLiga,13.0,danirodriguez_SPA
Tojiro Kubo,MF,Side_Midfielder,26,Japan,AFC,Kashiwa Reysol,J1_League,13.0,tojirokubo_JAP
Oscar Manzanarez,DF,Centre_Back,30,Mexico,CONCACAF,Querétaro FC,Liga_MX,13.0,oscarmanzanarez_MEX
Will Ferry,MF,Side_Midfielder,24,Ireland,UEFA,Dundee United FC,Scottish_Premiership,13.0,willferry_IRE
Karim Onisiwo,FW,Striker,33,Austria,UEFA,Red Bull Salzburg,Austria_Bundesliga,13.0,karimonisiwo_AUS
Freddy Alvarez,MF,Attacking_Midfielder,30,Costa Rica,CONCACAF,AD Municipal Liberia,Other_leagues,13.0,freddyalvarez_COS
Matt Freese,GK,Goalkeeper,26,United States,CONCACAF,New York City FC,MLS,13.0,mattfreese_UNI
James Pantemis,GK,Goalkeeper,28,Canada,CONCACAF,Portland Timbers,MLS,13.0,jamespantemis_CAN
Emi Rodriguez,FW,Right_Winger,22,Mexico,CONCACAF,CF Pachuca,Liga_MX,13.0,emirodriguez_MEX
Tom Glover,GK,Goalkeeper,27,Australia,AFC,Middlesbrough FC,Championship,13.0,tomglover_AUS
Ezequiel Ham,MF,Central_Midfielder,31,Syria,AFC,Atlético Clube Goianiense,Other_leagues,13.0,ezequielham_SYR
Ryo Hatsuse,DF,Left_Back,28,Japan,AFC,Without Club,Without_Club,13.0,ryohatsuse_JAP
Logan Farrington,FW,Striker,23,United States,CONCACAF,FC Dallas,MLS,13.0,loganfarrington_UNI
Santiago Naveda,MF,Defensive_Midfielder,24,Mexico,CONCACAF,CF América,Liga_MX,13.0,santiagonaveda_MEX
Andres Jasson,FW,Right_Winger,23,United States,CONCACAF,Aalborg BK,Other_leagues,13.0,andresjasson_UNI
Lee Young Joon,FW,Striker,22,"Korea, South",AFC,Grasshopper Club Zurich,Swiss_SuperLeague,13.0,leeyoungjoon_KOR
Danilo Al-Saed,FW,Left_Winger,26,Iraq,AFC,BK Häcken,Allsvenskan,13.0,daniloal-saed_IRA
Khozhiakbar Alizhonov,DF,Right_Back,28,Uzbekistan,AFC,Pakhtakor Tashkent,Uzbekistan_SuperLeague,13.0,khozhiakbaralizhonov_UZB
Kennedy Egbus Mikuni,DF,Centre_Back,25,Japan,AFC,Nagoya Grampus,J1_League,13.0,kennedyegbusmikuni_JAP
Bruno,FW,Striker,24,United Arab Emirates,AFC,Al-Jazira Club,UAE_ProLeague,13.0,bruno_UNI
Ibrokhimkhalil Yuldoshev,DF,Left_Back,24,Uzbekistan,AFC,Neftchi Fergana,Uzbekistan_SuperLeague,13.0,ibrokhimkhalilyuldoshev_UZB
Asahi Masuyama,MF,Side_Midfielder,28,Japan,AFC,Machida Zelvia,J1_League,13.0,asahimasuyama_JAP
Shintaro Nago,MF,Attacking_Midfielder,29,Japan,AFC,Avispa Fukuoka,J1_League,13.0,shintaronago_JAP
Ko Seung Beom,MF,Central_Midfielder,31,"Korea, South",AFC,Ulsan HD FC,K_League1,13.0,koseungbeom_KOR
Nick D'Agostino,FW,Striker,27,Australia,AFC,Viking FK,Eliteserien,13.0,nickd'agostino_AUS
Lee Sang Heon,MF,Attacking_Midfielder,27,"Korea, South",AFC,Gangwon FC,K_League1,13.0,leesangheon_KOR
Mutsuki Kato,FW,Striker,27,Japan,AFC,Sanfrecce Hiroshima,J1_League,13.0,mutsukikato_JAP
Denis Genreau,MF,Attacking_Midfielder,26,Australia,AFC,Deportivo de La Coruña,LaLiga_2,13.0,denisgenreau_AUS
Won Du Jae,MF,Defensive_Midfielder,27,"Korea, South",AFC,Khor Fakkan SSC,UAE_ProLeague,13.0,wondujae_KOR
Kota Yamada,MF,Attacking_Midfielder,26,Japan,AFC,Yokohama FC,J1_League,13.0,kotayamada_JAP
Rei Hirakawa,MF,Attacking_Midfielder,25,Japan,AFC,Tokyo Verdy,J1_League,13.0,reihirakawa_JAP
Ziyad Al-Johani,MF,Defensive_Midfielder,23,Saudi Arabia,AFC,Al-Ahli SFC,Saudi_ProLeague,13.0,ziyadal-johani_SAU
Sam Silvera,FW,Left_Winger,24,Australia,AFC,Middlesbrough FC,Championship,13.0,samsilvera_AUS
Shin Yamada,FW,Striker,25,Japan,AFC,Celtic FC,Scottish_Premiership,13.0,shinyamada_JAP
Daniel Rios,FW,Striker,30,Mexico,CONCACAF,Vancouver Whitecaps FC,MLS,13.0,danielrios_MEX
Jasper Cillessen,GK,Goalkeeper,36,Netherlands,UEFA,Without Club,Without_Club,13.0,jaspercillessen_NET
Milan Badelj,MF,Defensive_Midfielder,36,Croatia,UEFA,Without Club,Without_Club,13.0,milanbadelj_CRO
Javi Martinez,DF,Centre_Back,36,Spain,UEFA,Without Club,Without_Club,13.0,javimartinez_SPA
Lorenzo De Silvestri,DF,Right_Back,37,Italy,UEFA,Bologna FC 1909,Serie_A,13.0,lorenzodesilvestri_ITA
Diego Costa,FW,Striker,36,Spain,UEFA,Without Club,Without_Club,13.0,diegocosta_SPA
Rui Patricio,GK,Goalkeeper,37,Portugal,UEFA,Without Club,Without_Club,13.0,ruipatricio_POR
Talal Haji,FW,Striker,17,Saudi Arabia,AFC,Al-Ittihad Club,Saudi_ProLeague,13.0,talalhaji_SAU
Yoon Do Young,FW,Right_Winger,18,"Korea, South",AFC,Excelsior Rotterdam,Eredivisie,13.0,yoondoyoung_KOR
Hetao Hu,DF,Left_Back,21,China,AFC,Chengdu Rongcheng,Chinese_SuperLeague,13.0,hetaohu_CHI
Yosuke Furukawa,FW,Left_Winger,22,Japan,AFC,SV Darmstadt 98,Bundesliga_2,13.0,yosukefurukawa_JAP
Kanta Doi,DF,Centre_Back,20,Japan,AFC,FC Tokyo,J1_League,13.0,kantadoi_JAP
Kota Tawaratsumida,MF,Side_Midfielder,21,Japan,AFC,FC Tokyo,J1_League,13.0,kotatawaratsumida_JAP
Yuki Yamamoto,MF,Central_Midfielder,27,Japan,AFC,Kawasaki Frontale,J1_League,13.0,yukiyamamoto_JAP
Jalen Neal,DF,Centre_Back,21,United States,CONCACAF,CF Montréal,MLS,13.0,jalenneal_UNI
Yuto Iwasaki,FW,Left_Winger,27,Japan,AFC,Avispa Fukuoka,J1_League,12.2,yutoiwasaki_JAP
Koji Toriumi,DF,Centre_Back,30,Japan,AFC,JEF United Chiba,Other_leagues,12.2,kojitoriumi_JAP
Alex Paulsen,GK,Goalkeeper,23,New Zealand,OFC,AFC Bournemouth,PremierLeague,12.2,alexpaulsen_NEW
Joo Min Kyu,FW,Striker,35,"Korea, South",AFC,Daejeon Hana Citizen,K_League1,12.2,joominkyu_KOR
Kang Sang Woo,DF,Left_Back,31,"Korea, South",AFC,Ulsan HD FC,K_League1,12.2,kangsangwoo_KOR
Kento Hashimoto,MF,Defensive_Midfielder,31,Japan,AFC,FC Tokyo,J1_League,12.2,kentohashimoto_JAP
Guillermo May,FW,Striker,27,Uruguay,CONMEBOL,Auckland FC,A_League,12.2,guillermomay_URU
Yasser Al-Shahrani,DF,Left_Back,33,Saudi Arabia,AFC,Al-Hilal SFC,Saudi_ProLeague,12.2,yasseral-shahrani_SAU
Daiya Tono,FW,Striker,26,Japan,AFC,Yokohama F. Marinos,J1_League,12.2,daiyatono_JAP
Taishi Matsumoto,MF,Defensive_Midfielder,26,Japan,AFC,Urawa Red Diamonds,J1_League,12.2,taishimatsumoto_JAP
Mohammad Amin Kazemian,FW,Right_Winger,29,Iran,AFC,Persepolis FC,Persian_GulfProLeague,12.2,mohammadaminkazemian_IRA
Nelson da Luz,FW,Left_Winger,27,Angola,CAF,Qingdao West Coast,Chinese_SuperLeague,12.2,nelsondaluz_ANG
Hiroto Taniguchi,DF,Centre_Back,25,Japan,AFC,Tokyo Verdy,J1_League,12.2,hirototaniguchi_JAP
Kim Dong Hyeon,MF,Defensive_Midfielder,28,"Korea, South",AFC,Gangwon FC,K_League1,12.2,kimdonghyeon_KOR
Kim Moon Hwan,DF,Right_Back,29,"Korea, South",AFC,Daejeon Hana Citizen,K_League1,12.2,kimmoonhwan_KOR
Ryo Germain,FW,Striker,30,Japan,AFC,Sanfrecce Hiroshima,J1_League,12.2,ryogermain_JAP
Majid Aliyari,FW,Striker,29,Iran,AFC,Sepahan FC,Persian_GulfProLeague,12.2,majidaliyari_IRA
Kei Koizumi,MF,Defensive_Midfielder,30,Japan,AFC,FC Tokyo,J1_League,12.2,keikoizumi_JAP
Brandon Borrello,FW,Striker,30,Australia,AFC,Western Sydney Wanderers,A_League,12.2,brandonborrello_AUS
Kaina Tanimura,FW,Striker,27,Japan,AFC,Yokohama F. Marinos,J1_League,12.2,kainatanimura_JAP
Fran Karacic,DF,Right_Back,29,Australia,AFC,HNK Hajduk Split,SuperSport_HNL,12.2,frankaracic_AUS
Oh Se Hun,FW,Striker,26,"Korea, South",AFC,Machida Zelvia,J1_League,12.2,ohsehun_KOR
Matheus Oliveira,MF,Attacking_Midfielder,27,Brazil,CONMEBOL,FC Anyang,K_League1,12.2,matheusoliveira_BRA
Tiago Orobo,FW,Striker,31,Brazil,CONMEBOL,Jeonbuk Hyundai Motors,K_League1,12.2,tiagoorobo_BRA
Pablo Vegetti,FW,Striker,36,Argentina,CONMEBOL,Clube de Regatas Vasco da Gama,Brasileiro_SerieA,12.2,pablovegetti_ARG
Faycal Fajr,MF,Central_Midfielder,36,Morocco,CAF,Al-Taawoun FC,Saudi_ProLeague,12.2,faycalfajr_MOR
Riku Yamane,MF,Central_Midfielder,21,Japan,AFC,Yokohama F. Marinos,J1_League,12.2,rikuyamane_JAP
Nicholas Mickelson,DF,Left_Back,26,Thailand,AFC,SV 07 Elversberg,Bundesliga_2,12.2,nicholasmickelson_THA
Asahi Sasaki,DF,Left_Back,25,Japan,AFC,Kawasaki Frontale,J1_League,12.2,asahisasaki_JAP
Kai Trewin,DF,Centre_Back,24,Australia,AFC,Melbourne City FC,A_League,12.2,kaitrewin_AUS
Keiya Shiihashi,MF,Defensive_Midfielder,28,Japan,AFC,Nagoya Grampus,J1_League,12.2,keiyashiihashi_JAP
Dimitri Petratos,MF,Attacking_Midfielder,32,Australia,AFC,Mohun Bagan Super Giant,Other_leagues,12.2,dimitripetratos_AUS
Ever Banega,MF,Central_Midfielder,37,Argentina,CONMEBOL,CA Newell's Old Boys,Liga_Profesional,12.2,everbanega_ARG
Pontus Jansson,DF,Centre_Back,34,Sweden,UEFA,Malmö FF,Allsvenskan,12.2,pontusjansson_SWE
Franco Vazquez,MF,Attacking_Midfielder,36,Argentina,CONMEBOL,US Cremonese,Serie_A,12.2,francovazquez_ARG
Roberto Soriano,MF,Attacking_Midfielder,34,Italy,UEFA,Without Club,Without_Club,12.2,robertosoriano_ITA
Munir El Kajoui,GK,Goalkeeper,36,Morocco,CAF,Renaissance de Berkane,Other_leagues,12.2,munirelkajoui_MOR
Salomon Rondon,FW,Striker,35,Venezuela,CONMEBOL,Real Oviedo,LaLiga,12.2,salomonrondon_VEN
Gianluca Lapadula,FW,Striker,35,Peru,CONMEBOL,Spezia Calcio,Serie_B,12.2,gianlucalapadula_PER
Tolgay Arslan,MF,Attacking_Midfielder,34,Germany,UEFA,Sanfrecce Hiroshima,J1_League,12.2,tolgayarslan_GER
Adam Smith,DF,Right_Back,34,England,UEFA,AFC Bournemouth,PremierLeague,12.2,adamsmith_ENG
Cristian Salvador,MF,Defensive_Midfielder,30,Spain,UEFA,Tianjin Jinmen Tiger,Chinese_SuperLeague,12.2,cristiansalvador_SPA
Darlan,MF,Defensive_Midfielder,27,Brazil,CONMEBOL,Wuhan Three Towns,Chinese_SuperLeague,12.2,darlan_BRA
Jose Corpas,FW,Right_Winger,34,Spain,UEFA,SD Eibar,LaLiga_2,12.2,josecorpas_SPA
Willian,FW,Left_Winger,36,Brazil,CONMEBOL,Without Club,Without_Club,12.2,willian_BRA
Dimitri Payet,MF,Attacking_Midfielder,38,France,UEFA,Without Club,Without_Club,12.2,dimitripayet_FRA
Yusuke Matsuo,FW,Left_Winger,28,Japan,AFC,Urawa Red Diamonds,J1_League,12.2,yusukematsuo_JAP
Yuto Yamada,MF,Attacking_Midfielder,25,Japan,AFC,Kashiwa Reysol,J1_League,12.2,yutoyamada_JAP
Richard Akonnor,DF,Left_Back,21,United Arab Emirates,AFC,Al-Jazira Club,UAE_ProLeague,12.2,richardakonnor_UNI
Yuto Tsunashima,MF,Defensive_Midfielder,24,Japan,AFC,Tokyo Verdy,J1_League,12.2,yutotsunashima_JAP
Zento Uno,MF,Defensive_Midfielder,21,Japan,AFC,Shimizu S-Pulse,J1_League,12.2,zentouno_JAP
Akito Suzuki,FW,Striker,21,Japan,AFC,Shonan Bellmare,J1_League,12.2,akitosuzuki_JAP
Mohammad Omri,FW,Right_Winger,25,Iran,AFC,Persepolis FC,Persian_GulfProLeague,12.2,mohammadomri_IRA
Saman Fallah,DF,Centre_Back,24,Iran,AFC,Esteghlal FC,Persian_GulfProLeague,12.2,samanfallah_IRA
Shinichi Chan,DF,Left_Back,22,Hong Kong,AFC,Shanghai Shenhua,Chinese_SuperLeague,12.2,shinichichan_HON
Sho Fukuda,FW,Striker,24,Japan,AFC,Bröndby IF,Danish_Superligaen,12.2,shofukuda_JAP
Lee Tae Seok,DF,Left_Back,22,"Korea, South",AFC,Pohang Steelers,K_League1,12.2,leetaeseok_KOR
Goh Young Jun,MF,Attacking_Midfielder,24,"Korea, South",AFC,Górnik Zabrze,Ekstraklasa,12.2,gohyoungjun_KOR
Daniel Penha,MF,Attacking_Midfielder,26,Brazil,CONMEBOL,Dalian Yingbo,Chinese_SuperLeague,12.2,danielpenha_BRA
Kimito Nono,DF,Right_Back,23,Japan,AFC,Kashima Antlers,J1_League,12.2,kimitonono_JAP
Mamadou Traore,DF,Centre_Back,30,Mali,CAF,Dalian Yingbo,Chinese_SuperLeague,12.2,mamadoutraore_MAL
Felippe Cardoso,FW,Striker,26,Brazil,CONMEBOL,Henan FC,Chinese_SuperLeague,12.2,felippecardoso_BRA
Abdulla Abdullaev,MF,Defensive_Midfielder,27,Uzbekistan,AFC,Dibba SCC,UAE_ProLeague,11.4,abdullaabdullaev_UZB
Soya Fujiwara,DF,Right_Back,29,Japan,AFC,Albirex Niigata,J1_League,11.4,soyafujiwara_JAP
Jeon Jin Woo,FW,Right_Winger,25,"Korea, South",AFC,Jeonbuk Hyundai Motors,K_League1,11.4,jeonjinwoo_KOR
Itsuki Someno,FW,Striker,23,Japan,AFC,Tokyo Verdy,J1_League,11.4,itsukisomeno_JAP
Choi Jun,DF,Right_Back,26,"Korea, South",AFC,FC Seoul,K_League1,11.4,choijun_KOR
Kaito Yasui,MF,Defensive_Midfielder,25,Japan,AFC,Urawa Red Diamonds,J1_League,11.4,kaitoyasui_JAP
Abdulrahman Saleh,DF,Left_Back,26,United Arab Emirates,AFC,Al-Wasl FC,UAE_ProLeague,11.4,abdulrahmansaleh_UNI
Noah Botic,FW,Striker,23,Australia,AFC,Austria Vienna,Austria_Bundesliga,11.4,noahbotic_AUS
Seo Min Woo,MF,Defensive_Midfielder,27,"Korea, South",AFC,Gangwon FC,K_League1,11.4,seominwoo_KOR
Abdulla Hamad,MF,Defensive_Midfielder,23,United Arab Emirates,AFC,Al-Wahda FC,UAE_ProLeague,11.4,abdullahamad_UNI
Elias Mar Omarsson,FW,Striker,30,Iceland,UEFA,Meizhou Hakka,Chinese_SuperLeague,11.4,eliasmaromarsson_ICE
Ibrahim Amadou,MF,Defensive_Midfielder,32,France,UEFA,Shanghai Shenhua,Chinese_SuperLeague,11.4,ibrahimamadou_FRA
Abdulmalik Al-Jaber,MF,Central_Midfielder,21,Saudi Arabia,AFC,Al-Nassr FC,Saudi_ProLeague,11.4,abdulmalikal-jaber_SAU
Ayumu Yokoyama,FW,Left_Winger,22,Japan,AFC,KRC Genk,Jupiler_ProLeague,11.4,ayumuyokoyama_JAP
Daniel Lajud,FW,Striker,26,Lebanon,AFC,Panetolikos GFS,SuperLeague1,11.4,daniellajud_LEB
Azizbek Turgunboev,MF,Central_Midfielder,30,Uzbekistan,AFC,Without Club,Without_Club,11.4,azizbekturgunboev_UZB
Abrorbek Ismoilov,MF,Central_Midfielder,27,Uzbekistan,AFC,Neftchi Fergana,Uzbekistan_SuperLeague,11.4,abrorbekismoilov_UZB
Shota Fujio,FW,Striker,24,Japan,AFC,Machida Zelvia,J1_League,11.4,shotafujio_JAP
Kazuki Tanaka,MF,Side_Midfielder,25,Japan,AFC,JEF United Chiba,Other_leagues,11.4,kazukitanaka_JAP
Gustavo,DF,Centre_Back,25,United Arab Emirates,AFC,Al-Nasr SC (UAE),UAE_ProLeague,11.4,gustavo_UNI
Taiki Hirato,MF,Side_Midfielder,28,Japan,AFC,Kyoto Sanga,J1_League,11.4,taikihirato_JAP
Reza Asadi,MF,Attacking_Midfielder,29,Iran,AFC,Without Club,Without_Club,11.4,rezaasadi_IRA
Yuya Yamagishi,FW,Striker,31,Japan,AFC,Nagoya Grampus,J1_League,11.4,yuyayamagishi_JAP
Liangming Lin,FW,Left_Winger,28,China,AFC,Beijing Guoan,Chinese_SuperLeague,11.4,liangminglin_CHI
Lei Wu,FW,Right_Winger,33,China,AFC,Shanghai Port,Chinese_SuperLeague,11.4,leiwu_CHI
Daniel Schmidt,GK,Goalkeeper,33,Japan,AFC,Nagoya Grampus,J1_League,11.4,danielschmidt_JAP
Martin Boyle,FW,Right_Winger,32,Australia,AFC,Hibernian FC,Scottish_Premiership,11.4,martinboyle_AUS
Gerrit Holtmann,FW,Left_Winger,30,Philippines,AFC,VfL Bochum,Bundesliga_2,11.4,gerritholtmann_PHI
Yuning Zhang,FW,Striker,28,China,AFC,Beijing Guoan,Chinese_SuperLeague,11.4,yuningzhang_CHI
Hwang Ui Jo,FW,Striker,32,"Korea, South",AFC,Alanyaspor,SuperLig,11.4,hwanguijo_KOR
Yuta Toyokawa,FW,Striker,30,Japan,AFC,RB Omiya Ardija,Other_leagues,11.4,yutatoyokawa_JAP
Sho Inagaki,MF,Defensive_Midfielder,33,Japan,AFC,Nagoya Grampus,J1_League,11.4,shoinagaki_JAP
Bashar Resan,MF,Attacking_Midfielder,28,Iraq,AFC,Pakhtakor Tashkent,Uzbekistan_SuperLeague,11.4,basharresan_IRA
Daiki Suga,MF,Side_Midfielder,26,Japan,AFC,Sanfrecce Hiroshima,J1_League,11.4,daikisuga_JAP
Jamshid Boltaboev,MF,Defensive_Midfielder,28,Uzbekistan,AFC,Without Club,Without_Club,11.4,jamshidboltaboev_UZB
Rikiya Uehara,MF,Central_Midfielder,28,Japan,AFC,Júbilo Iwata,Other_leagues,11.4,rikiyauehara_JAP
Hiiro Komori,FW,Striker,24,Japan,AFC,Urawa Red Diamonds,J1_League,11.4,hiirokomori_JAP
Yota Komi,MF,Side_Midfielder,22,Japan,AFC,Kashiwa Reysol,J1_League,11.4,yotakomi_JAP
Jassem Gaber,DF,Centre_Back,23,Qatar,AFC,Al-Rayyan SC,QSL,11.4,jassemgaber_QAT
Anton Zabolotnyi,FW,Striker,34,Russia,UEFA,Spartak Moscow,Russian_PremierLiga,11.4,antonzabolotnyi_RUS
Leonardo Pavoletti,FW,Striker,36,Italy,UEFA,Cagliari Calcio,Serie_A,11.4,leonardopavoletti_ITA
Aleksandar Katai,MF,Attacking_Midfielder,34,Serbia,UEFA,Red Star Belgrade,Superliga_Srbjie,11.4,aleksandarkatai_SER
Koya Yuruki,FW,Left_Winger,30,Japan,AFC,Vissel Kobe,J1_League,11.4,koyayuruki_JAP
Takahiro Kunimoto,MF,Attacking_Midfielder,27,Japan,AFC,Liaoning Tieren,Other_leagues,11.4,takahirokunimoto_JAP
Ryota Aoki,MF,Attacking_Midfielder,29,Japan,AFC,Hokkaido Consadole Sapporo,Other_leagues,11.4,ryotaaoki_JAP
Shota Fukuoka,DF,Centre_Back,29,Japan,AFC,Gamba Osaka,J1_League,11.4,shotafukuoka_JAP
Danial Esmaeilifar,DF,Right_Back,32,Iran,AFC,Tractor FC,Persian_GulfProLeague,11.4,danialesmaeilifar_IRA
Hadi Habibinejad,MF,Attacking_Midfielder,29,Iran,AFC,Chadormalu SC,Persian_GulfProLeague,11.4,hadihabibinejad_IRA
Shahab Zahedi,FW,Striker,29,Iran,AFC,Avispa Fukuoka,J1_League,11.4,shahabzahedi_IRA
Reza Shekari,MF,Attacking_Midfielder,27,Iran,AFC,Persepolis FC,Persian_GulfProLeague,11.4,rezashekari_IRA
Suhail Al-Noobi,FW,Right_Winger,29,United Arab Emirates,AFC,FC Baniyas,UAE_ProLeague,11.4,suhailal-noobi_UNI
Ben Old,FW,Left_Winger,22,New Zealand,OFC,AS Saint-Étienne,Ligue2,11.4,benold_NEW
Yan Dhanda,MF,Attacking_Midfielder,26,England,UEFA,Heart of Midlothian FC,Scottish_Premiership,11.4,yandhanda_ENG
Mark O'Hara,MF,Defensive_Midfielder,29,Scotland,UEFA,St. Mirren FC,Scottish_Premiership,11.4,marko'hara_SCO
Ryan Thomas,MF,Central_Midfielder,30,New Zealand,OFC,PEC Zwolle,Eredivisie,11.4,ryanthomas_NEW
Jose Luis Palomino,DF,Centre_Back,35,Argentina,CONMEBOL,CA Talleres,Liga_Profesional,11.4,joseluispalomino_ARG
Alfie Dorrington,DF,Centre_Back,20,England,UEFA,Aberdeen FC,Scottish_Premiership,11.4,alfiedorrington_ENG
Ewan Wilson,DF,Left_Back,20,Scotland,UEFA,Motherwell FC,Scottish_Premiership,11.4,ewanwilson_SCO
Vicko Sevelj,MF,Defensive_Midfielder,24,Croatia,UEFA,Dundee United FC,Scottish_Premiership,11.4,vickosevelj_CRO
